NOMFASE;NUMRODADA;NOMSELECAO;NOMJOGADOR;NOMPOSICAO;NUMCAMISA;DTHCARTAO;INDTEMPOJOGO;NUMCARTAO;TPOCARTAO
FASE DE GRUPO;1ª RODADA;COSTA RICA;CAMPBELL;MEC;12;2022-11-23 14:51:00;2;1;AMARELO
FASE DE GRUPO;1ª RODADA;BÉLGICA;CARRASCO;LAE;11;2022-11-23 16:08:00;1;1;AMARELO
FASE DE GRUPO;1ª RODADA;CANADA;JOHNSTON;ZAD;2;2022-11-23 16:51:00;1;1;AMARELO
FASE DE GRUPO;1ª RODADA;CANADA;DAVIES;LAE;19;2022-11-23 16:51:00;1;1;AMARELO
FASE DE GRUPO;1ª RODADA;BÉLGICA;MEUNIER;LAD;15;2022-11-23 17:02:00;2;1;AMARELO
FASE DE GRUPO;1ª RODADA;BÉLGICA;ONANA;VOL;18;2022-11-23 17:11:00;2;1;AMARELO
FASE DE GRUPO;1ª RODADA;CAMARÕES;FAI;LAD;19;2022-11-24 07:35:00;1;1;AMARELO
FASE DE GRUPO;1ª RODADA;SUIÇA;ELVEDI;ZAD;4;2022-11-24 08:18:00;2;1;AMARELO
FASE DE GRUPO;1ª RODADA;SUIÇA;AKANJI;ZAE;5;2022-11-24 08:35:00;2;1;AMARELO
FASE DE GRUPO;1ª RODADA;URUGUAI;VARELA;LAD;13;2022-11-24 11:12:00;2;1;AMARELO
FASE DE GRUPO;1ª RODADA;COREIA DO SUL;CHO GUE-SUNG;ATA;9;2022-11-24 11:42:00;2;1;AMARELO
FASE DE GRUPO;1ª RODADA;URUGUAI;MARTÍN CÁCERES;LAD;22;2022-11-24 11:52:00;2;1;AMARELO
FASE DE GRUPO;1ª RODADA;GANA;KUDUS;ATA;20;2022-11-24 13:44:00;1;1;AMARELO
FASE DE GRUPO;1ª RODADA;GANA;ANDRÉ AYEW;MEC;10;2022-11-24 14:03:00;2;1;AMARELO
FASE DE GRUPO;1ª RODADA;GANA;SEIDU;LAD;26;2022-11-24 14:11:00;2;1;AMARELO
FASE DE GRUPO;1ª RODADA;PORTUGAL;JOÃO MÁRIO;VOL;17;2022-11-24 14:45:00;2;1;AMARELO
FASE DE GRUPO;1ª RODADA;GANA;IÑAKI WILLIAMS;ATA;19;2022-11-24 14:45:00;2;1;AMARELO
FASE DE GRUPO;1ª RODADA;PORTUGAL;BRUNO FERNANDES;MEC;8;2022-11-24 14:50:00;2;1;AMARELO
FASE DE GRUPO;1ª RODADA;SÉRVIA;PAVLOVIC;ZAE;2;2022-11-24 16:06:00;1;1;AMARELO
FASE DE GRUPO;1ª RODADA;SÉRVIA;GUDELJ;VOL;8;2022-11-24 17:03:00;2;1;AMARELO
FASE DE GRUPO;1ª RODADA;SÉRVIA;LUKIC;VOL;16;2022-11-24 17:19:00;2;1;AMARELO
FASE DE GRUPO;2ª RODADA;PAÍS DE GALES;RODON;ZAG;6;2022-11-25 07:47:00;1;1;AMARELO
FASE DE GRUPO;2ª RODADA;PAÍS DE GALES;HENNESSEY;GOL;1;2022-11-25 08:40:00;2;1;VERMELHO
FASE DE GRUPO;2ª RODADA;IRÃ;REZAEIAN;LAD;23;2022-11-25 08:48:00;2;1;AMARELO
FASE DE GRUPO;2ª RODADA;IRÃ;JAHANBAKHSH;ATA;7;2022-11-25 08:49:00;2;1;AMARELO
FASE DE GRUPO;2ª RODADA;CATAR;ISMAEEL MOHAMMED;MEC;17;2022-11-25 10:18:00;1;1;AMARELO
FASE DE GRUPO;2ª RODADA;SENEGAL;BOULAYE DIA;ATA;9;2022-11-25 10:29:00;1;1;AMARELO
FASE DE GRUPO;2ª RODADA;CATAR;HOMAM AHMED;LAE;14;2022-11-25 10:45:00;1;1;AMARELO
FASE DE GRUPO;2ª RODADA;SENEGAL;JAKOBS;LAE;14;2022-11-25 11:06:00;2;1;AMARELO
FASE DE GRUPO;2ª RODADA;SENEGAL;CISS;VOL;11;2022-11-25 11:41:00;2;1;AMARELO
FASE DE GRUPO;2ª RODADA;CATAR;MADIBO;VOL;23;2022-11-25 11:45:00;2;1;AMARELO
FASE DE GRUPO;2ª RODADA;EQUADOR;JHEGSON MÉNDEZ;VOL;20;2022-11-25 13:00:00;1;1;AMARELO
FASE DE GRUPO;2ª RODADA;TUNÍSIA;LAÏDOUNI;VOL;14;2022-11-26 07:25:00;1;1;AMARELO
FASE DE GRUPO;2ª RODADA;TUNÍSIA;ABDI;LAE;24;2022-11-26 08:18:00;2;1;AMARELO
FASE DE GRUPO;2ª RODADA;TUNÍSIA;SASSI;VOL;13;2022-11-26 08:48:00;2;1;AMARELO
FASE DE GRUPO;2ª RODADA;POLÔNIA;KIWIOR;ZAE;14;2022-11-26 10:14:00;1;1;AMARELO
FASE DE GRUPO;2ª RODADA;POLÔNIA;CASH;ZAD;2;2022-11-26 10:15:00;1;1;AMARELO
FASE DE GRUPO;2ª RODADA;POLÔNIA;MILIK;ATA;7;2022-11-26 10:19:00;1;1;AMARELO
FASE DE GRUPO;2ª RODADA;ARÁBIA SAUDITA;AL-MALKI;VOL;8;2022-11-26 10:20:00;1;1;AMARELO
FASE DE GRUPO;2ª RODADA;ARÁBIA SAUDITA;AL-AMRI;ZAD;4;2022-11-26 10:48:00;1;1;AMARELO
FASE DE GRUPO;2ª RODADA;DINAMARCA;ANDREAS CHRISTENSEN;ZAE;6;2022-11-26 13:19:00;1;1;AMARELO
FASE DE GRUPO;2ª RODADA;DINAMARCA;CORNELIUS;ATA;21;2022-11-26 13:22:00;1;1;AMARELO
FASE DE GRUPO;2ª RODADA;FRANÇA;KOUNDÉ;ZAD;5;2022-11-26 13:42:00;1;1;AMARELO
FASE DE GRUPO;2ª RODADA;MÉXICO;NÉSTOR ARAÚJO;ZAD;2;2022-11-26 16:21:00;1;1;AMARELO
FASE DE GRUPO;2ª RODADA;ARGENTINA;MONTIEL;LAD;4;2022-11-26 16:42:00;1;1;AMARELO
FASE DE GRUPO;2ª RODADA;MÉXICO;ÉRICK GUTIÉRREZ;VOL;14;2022-11-26 17:04:00;2;1;AMARELO
FASE DE GRUPO;2ª RODADA;MÉXICO;HÉCTOR HERRERA;VOL;16;2022-11-26 17:21:00;2;1;AMARELO
FASE DE GRUPO;2ª RODADA;MÉXICO;ALVARADO;MEC;25;2022-11-26 17:43:00;2;1;AMARELO
FASE DE GRUPO;2ª RODADA;COSTA RICA;CONTRERAS;ATA;7;2022-11-27 07:41:00;1;1;AMARELO
FASE DE GRUPO;2ª RODADA;COSTA RICA;CELSO BORGES;VOL;5;2022-11-27 08:16:00;2;1;AMARELO
FASE DE GRUPO;2ª RODADA;COSTA RICA;CALVO;ZAE;15;2022-11-27 08:24:00;2;1;AMARELO
FASE DE GRUPO;2ª RODADA;JAPÃO;ITAKURA;ZAE;4;2022-11-27 08:36:00;2;1;AMARELO
FASE DE GRUPO;2ª RODADA;JAPÃO;ENDO;VOL;6;2022-11-27 08:47:00;2;1;AMARELO
FASE DE GRUPO;2ª RODADA;MORROCOS;SABIRI;MEC;11;2022-11-27 12:49:00;2;1;AMARELO
FASE DE GRUPO;2ª RODADA;CANADA;BUCHANAN;MEC;11;2022-11-27 14:06:00;2;1;AMARELO
FASE DE GRUPO;2ª RODADA;CROÁCIA;LOVREN;ZAD;6;2022-11-27 14:11:00;2;1;AMARELO
FASE DE GRUPO;2ª RODADA;CROÁCIA;MODRIC;VOL;10;2022-11-27 14:39:00;2;1;AMARELO
FASE DE GRUPO;2ª RODADA;CANADA;MILLER;ZAE;4;2022-11-27 14:39:00;2;1;AMARELO
FASE DE GRUPO;2ª RODADA;ALEMANHA;KEHRER;ZAD;5;2022-11-27 16:36:00;1;1;AMARELO
FASE DE GRUPO;2ª RODADA;ESPANHA;BUSQUETS;ZAD;5;2022-11-27 16:43:00;1;1;AMARELO
FASE DE GRUPO;2ª RODADA;ALEMANHA;GORETZKA;VOL;8;2022-11-27 17:12:00;2;1;AMARELO
FASE DE GRUPO;2ª RODADA;ALEMANHA;KIMMICH;VOL;6;2022-11-27 17:14:00;2;1;AMARELO
FASE DE GRUPO;2ª RODADA;CAMARÕES;N´KOULOU;ZAE;3;2022-11-28 07:24:00;1;1;AMARELO
FASE DE GRUPO;2ª RODADA;CAMARÕES;BASSOGOG;ATA;11;2022-11-28 07:31:00;1;1;AMARELO
FASE DE GRUPO;2ª RODADA;SÉRVIA;JOVIC;ATA;11;2022-11-28 07:51:00;1;1;AMARELO
FASE DE GRUPO;2ª RODADA;SÉRVIA;MILENKOVIC;ZAD;4;2022-11-28 08:48:00;2;1;AMARELO
FASE DE GRUPO;2ª RODADA;GANA;AMARTEY;ZAD;18;2022-11-28 10:20:00;1;1;AMARELO
FASE DE GRUPO;2ª RODADA;COREIA DO SUL;JUNG WOO-YOUNG;VOL;5;2022-11-28 10:26:00;1;1;AMARELO
FASE DE GRUPO;2ª RODADA;GANA;LAMPTEY;LAD;2;2022-11-28 11:27:00;2;1;AMARELO
FASE DE GRUPO;2ª RODADA;COREIA DO SUL;KIM YOUNG-GWON;ZAD;19;2022-11-28 11:32:00;2;1;AMARELO
FASE DE GRUPO;2ª RODADA;SUIÇA;RIEDER;VOL;25;2022-11-28 14:04:00;2;1;AMARELO
FASE DE GRUPO;2ª RODADA;BRASIL;FRED;VOL;8;2022-11-28 14:06:00;2;1;AMARELO
FASE DE GRUPO;2ª RODADA;URUGUAI;BENTANCUR;VOL;6;2022-11-28 16:05:00;1;1;AMARELO
FASE DE GRUPO;2ª RODADA;PORTUGAL;RÚBEN NEVES;VOL;18;2022-11-28 16:37:00;1;1;AMARELO
FASE DE GRUPO;2ª RODADA;URUGUAI;MATHÍAS OLIVERA;LAE;16;2022-11-28 16:44:00;1;1;AMARELO
FASE DE GRUPO;2ª RODADA;PORTUGAL;JOÃO FÉLIX;ATA;11;2022-11-28 17:31:00;2;1;AMARELO
FASE DE GRUPO;2ª RODADA;PORTUGAL;RÚBEN DIAS;ZAD;4;2022-11-28 17:44:00;2;1;AMARELO
FASE DE GRUPO;3ª RODADA;HOLANDA;AKÉ;ZAE;5;2022-11-29 13:06:00;2;1;AMARELO
FASE DE GRUPO;3ª RODADA;SENEGAL;GANA GUEYE;VOL;5;2022-11-29 13:20:00;2;1;AMARELO
FASE DE GRUPO;3ª RODADA;PAÍS DE GALES;DANIEL JAMES;ATA;20;2022-11-29 16:28:00;1;1;AMARELO
FASE DE GRUPO;3ª RODADA;EUA;ADAMS;VOL;4;2022-11-29 16:42:00;1;1;AMARELO
FASE DE GRUPO;3ª RODADA;PAÍS DE GALES;RAMSEY;MEC;10;2022-11-29 17:15:00;2;1;AMARELO
FASE DE GRUPO;3ª RODADA;IRÃ;MAJID HOSSEINI;ZAE;19;2022-11-29 17:31:00;2;1;AMARELO
FASE DE GRUPO;3ª RODADA;IRÃ;KANAANI;ZAD;13;2022-11-29 17:38:00;2;1;AMARELO
FASE DE GRUPO;3ª RODADA;IRÃ;JALALI;LAE;25;2022-11-29 17:50:00;2;1;AMARELO
FASE DE GRUPO;3ª RODADA;AUSTRÁLIA;BEHICH;LAE;16;2022-11-30 12:03:00;1;1;AMARELO
FASE DE GRUPO;3ª RODADA;TUNÍSIA;KECHRIDA;LAD;21;2022-11-30 12:27:00;1;1;AMARELO
FASE DE GRUPO;3ª RODADA;AUSTRÁLIA;DEGENEK;ZAD;2;2022-11-30 13:11:00;2;1;AMARELO
FASE DE GRUPO;3ª RODADA;DINAMARCA;SKOV;MEC;24;2022-11-30 13:30:00;2;1;AMARELO
FASE DE GRUPO;3ª RODADA;MÉXICO;EDSON ÁLVAREZ;VOL;4;2022-11-30 16:15:00;1;1;AMARELO
FASE DE GRUPO;3ª RODADA;ARÁBIA SAUDITA;AL-SHEHRI;ATA;11;2022-11-30 16:27:00;1;1;AMARELO
FASE DE GRUPO;3ª RODADA;ARÁBIA SAUDITA;AL-HASSAN;VOL;15;2022-11-30 16:33:00;1;1;AMARELO
FASE DE GRUPO;3ª RODADA;ARGENTINA;ACUÑA;LAE;8;2022-11-30 17:03:00;2;1;AMARELO
FASE DE GRUPO;3ª RODADA;ARÁBIA SAUDITA;AL-TAMBAKTI;ZAD;17;2022-11-30 17:06:00;2;1;AMARELO
FASE DE GRUPO;3ª RODADA;POLÔNIA;KRYCHOWIAK;VOL;10;2022-11-30 17:33:00;2;1;AMARELO
FASE DE GRUPO;3ª RODADA;ARÁBIA SAUDITA;MADU;ZAE;3;2022-11-30 17:36:00;2;1;AMARELO
FASE DE GRUPO;3ª RODADA;ARÁBIA SAUDITA;AL-AMRI;ZAD;4;2022-11-30 17:45:00;2;1;AMARELO
FASE DE GRUPO;3ª RODADA;CANADA;HOILETT;MEC;10;2022-12-01 12:07:00;1;1;AMARELO
FASE DE GRUPO;3ª RODADA;CANADA;OSORIO;VOL;21;2022-12-01 12:27:00;1;1;AMARELO
FASE DE GRUPO;3ª RODADA;CANADA;ADEKUGBE;LAE;3;2022-12-01 12:48:00;1;1;AMARELO
FASE DE GRUPO;3ª RODADA;CANADA;STEVEN VITÓRIA;ZAG;5;2022-12-01 13:38:00;2;1;AMARELO
FASE DE GRUPO;3ª RODADA;JAPÃO;ITAKURA;ZAE;4;2022-12-01 16:38:00;1;1;AMARELO
FASE DE GRUPO;3ª RODADA;JAPÃO;TANIGUCHI;ZAD;3;2022-12-01 16:43:00;1;1;AMARELO
FASE DE GRUPO;3ª RODADA;URUGUAI;DARWIN NÚÑEZ;ATA;11;2022-12-02 12:18:00;1;1;AMARELO
FASE DE GRUPO;3ª RODADA;COREIA DO SUL;LEE KANG-IN;MEC;18;2022-12-02 12:35:00;1;1;AMARELO
FASE DE GRUPO;3ª RODADA;URUGUAI;LUIS SUÁREZ;ATA;9;2022-12-02 13:14:00;2;1;AMARELO
FASE DE GRUPO;3ª RODADA;URUGUAI;COATES;ZAD;19;2022-12-02 13:38:00;2;1;AMARELO
FASE DE GRUPO;3ª RODADA;GANA;SULEMANA;ATA;22;2022-12-02 13:39:00;2;1;AMARELO
FASE DE GRUPO;3ª RODADA;COREIA DO SUL;HWANG HEE-CHAN;ATA;11;2022-12-02 13:49:00;2;1;AMARELO
FASE DE GRUPO;3ª RODADA;GANA;SEIDU;LAD;26;2022-12-02 13:53:00;2;1;AMARELO
FASE DE GRUPO;3ª RODADA;CAMARÕES;TOLO;LAE;25;2022-12-02 16:05:00;1;1;AMARELO
FASE DE GRUPO;3ª RODADA;BRASIL;ÉDER MILITÃO;ZAD;14;2022-12-02 16:06:00;1;1;AMARELO
FASE DE GRUPO;3ª RODADA;SUIÇA;WIDMER;LAD;3;2022-12-02 16:14:00;1;1;AMARELO
FASE DE GRUPO;3ª RODADA;CAMARÕES;KUNDE;VOL;15;2022-12-02 16:28:00;1;1;AMARELO
FASE DE GRUPO;3ª RODADA;CAMARÕES;FAI;LAD;19;2022-12-02 16:32:00;1;1;AMARELO
FASE DE GRUPO;3ª RODADA;SUIÇA;VARGAS;ATA;17;2022-12-02 16:33:00;1;1;AMARELO
FASE DE GRUPO;3ª RODADA;SÉRVIA;SERGEJ MILINKOVIC-SAVIC;MEC;20;2022-12-02 17:01:00;2;1;AMARELO
FASE DE GRUPO;3ª RODADA;SÉRVIA;PAVLOVIC;ZAE;2;2022-12-02 17:10:00;2;1;AMARELO
FASE DE GRUPO;3ª RODADA;SÉRVIA;RAJKOVIC;GOL;12;2022-12-02 17:20:00;2;1;AMARELO
FASE DE GRUPO;3ª RODADA;CAMARÕES;ABOUBAKAR;ATA;10;2022-12-02 17:35:00;2;1;AMARELO
FASE DE GRUPO;3ª RODADA;SÉRVIA;ALEKSANDAR MITROVIC;ATA;9;2022-12-02 17:36:00;2;1;AMARELO
FASE DE GRUPO;3ª RODADA;SÉRVIA;GUDELJ;VOL;8;2022-12-02 17:36:00;2;1;AMARELO
FASE DE GRUPO;3ª RODADA;BRASIL;BRUNO GUIMARÃES;VOL;17;2022-12-02 17:39:00;2;1;AMARELO
FASE DE GRUPO;3ª RODADA;CAMARÕES;ABOUBAKAR;ATA;10;2022-12-02 17:47:00;2;1;VERMELHO
FASE DE GRUPO;3ª RODADA;SUIÇA;XHAKA;VOL;10;2022-12-02 17:49:00;2;1;AMARELO
FASE DE GRUPO;3ª RODADA;SÉRVIA;MILENKOVIC;ZAD;4;2022-12-02 17:49:00;2;1;AMARELO
FASE DE GRUPO;3ª RODADA;SUIÇA;SCHÄR;ZAD;22;2022-12-02 17:53:00;2;1;AMARELO
OITAVAS DE FINAL;OITAVAS DE FINAL 1;HOLANDA;KOOPMEINERS;VOL;20;2022-12-03 13:14:00;2;1;AMARELO
OITAVAS DE FINAL;OITAVAS DE FINAL 1;HOLANDA;FRENKIE DE JONG;VOL;21;2022-12-03 13:41:00;2;1;AMARELO
OITAVAS DE FINAL;OITAVAS DE FINAL 2;AUSTRÁLIA;IRVINE;VOL;22;2022-12-03 16:14:00;1;1;AMARELO
OITAVAS DE FINAL;OITAVAS DE FINAL 2;AUSTRÁLIA;DEGENEK;ZAD;2;2022-12-03 16:37:00;1;1;AMARELO
OITAVAS DE FINAL;OITAVAS DE FINAL 3;CROÁCIA;KOVACIC;VOL;8;2022-12-05 13:44:00;2;1;AMARELO
OITAVAS DE FINAL;OITAVAS DE FINAL 3;CROÁCIA;BARISIC;LAE;3;2022-12-05 14:40:00;2;1;AMARELO
OITAVAS DE FINAL;OITAVAS DE FINAL 4;COREIA DO SUL;JUNG WOO-YOUNG;VOL;5;2022-12-05 16:43:00;1;1;AMARELO
OITAVAS DE FINAL;OITAVAS DE FINAL 5;SENEGAL;KOULIBALY;ZAD;3;2022-12-04 17:30:00;2;1;AMARELO
OITAVAS DE FINAL;OITAVAS DE FINAL 6;FRANÇA;TCHOUAMÉNI;VOL;8;2022-12-04 12:30:00;1;1;AMARELO
OITAVAS DE FINAL;OITAVAS DE FINAL 6;POLÔNIA;BERESZYNSKI;LAD;18;2022-12-04 13:01:00;2;1;AMARELO
OITAVAS DE FINAL;OITAVAS DE FINAL 6;POLÔNIA;CASH;ZAD;2;2022-12-04 13:42:00;2;1;AMARELO
OITAVAS DE FINAL;OITAVAS DE FINAL 7;ESPANHA;LAPORTE;ZAE;24;2022-12-06 13:31:00;2;1;AMARELO
OITAVAS DE FINAL;OITAVAS DE FINAL 7;MORROCOS;SAÏSS;ZAE;6;2022-12-06 13:44:00;2;1;AMARELO
OITAVAS DE FINAL;OITAVAS DE FINAL 8;SUIÇA;CÖMERT;ZAD;18;2022-12-06 17:14:00;2;1;AMARELO
QUARTAS DE FINAL;QUARTAS DE FINAL 1;ARGENTINA;ACUÑA;LAE;8;2022-12-09 16:43:00;1;1;AMARELO
QUARTAS DE FINAL;QUARTAS DE FINAL 1;ARGENTINA;CRISTIAN ROMERO;ZAD;13;2022-12-09 16:44:00;1;1;AMARELO
QUARTAS DE FINAL;QUARTAS DE FINAL 1;HOLANDA;WEGHORST;ATA;19;2022-12-09 16:46:00;1;1;AMARELO
QUARTAS DE FINAL;QUARTAS DE FINAL 1;HOLANDA;MEMPHIS DEPAY;ATA;10;2022-12-09 17:30:00;2;1;AMARELO
QUARTAS DE FINAL;QUARTAS DE FINAL 1;ARGENTINA;LISANDRO MARTÍNEZ;ZAE;25;2022-12-09 17:33:00;2;1;AMARELO
QUARTAS DE FINAL;QUARTAS DE FINAL 1;HOLANDA;BERGHUIS;VOL;11;2022-12-09 17:42:00;2;1;AMARELO
QUARTAS DE FINAL;QUARTAS DE FINAL 1;ARGENTINA;PAREDES;VOL;5;2022-12-09 17:44:00;2;1;AMARELO
QUARTAS DE FINAL;QUARTAS DE FINAL 1;ARGENTINA;MESSI;ATA;10;2022-12-09 17:45:00;2;1;AMARELO
QUARTAS DE FINAL;QUARTAS DE FINAL 1;HOLANDA;VAN DIJK;ZAG;4;2022-12-09 17:48:00;2;1;AMARELO
QUARTAS DE FINAL;QUARTAS DE FINAL 1;ARGENTINA;OTAMENDI;ZAE;19;2022-12-09 17:56:00;2;1;AMARELO
QUARTAS DE FINAL;QUARTAS DE FINAL 1;HOLANDA;BERGWIJN;ATA;7;2022-12-09 17:57:00;2;1;AMARELO
QUARTAS DE FINAL;QUARTAS DE FINAL 1;ARGENTINA;MONTIEL;LAD;4;2022-12-09 18:18:00;2;1;AMARELO
QUARTAS DE FINAL;QUARTAS DE FINAL 1;ARGENTINA;PEZZELLA;ZAD;6;2022-12-09 18:21:00;2;1;AMARELO
QUARTAS DE FINAL;QUARTAS DE FINAL 1;HOLANDA;LANG;ATA;12;2022-12-09 18:30:00;2;1;AMARELO
QUARTAS DE FINAL;QUARTAS DE FINAL 2;BRASIL;DANILO;LAD;2;2022-12-09 12:24:00;1;1;AMARELO
QUARTAS DE FINAL;QUARTAS DE FINAL 2;CROÁCIA;BROZOVIC;VOL;11;2022-12-09 12:30:00;1;1;AMARELO
QUARTAS DE FINAL;QUARTAS DE FINAL 2;BRASIL;CASEMIRO;VOL;5;2022-12-09 13:22:00;2;1;AMARELO
QUARTAS DE FINAL;QUARTAS DE FINAL 2;BRASIL;MARQUINHOS;ZAD;4;2022-12-09 13:31:00;2;1;AMARELO
QUARTAS DE FINAL;QUARTAS DE FINAL 2;CROÁCIA;PETKOVIC;ATA;16;2022-12-09 14:28:00;2;1;AMARELO
QUARTAS DE FINAL;QUARTAS DE FINAL 3;FRANÇA;GRIEZMANN;MEC;7;2022-12-10 16:42:00;1;1;AMARELO
QUARTAS DE FINAL;QUARTAS DE FINAL 3;FRANÇA;DEMBÉLÉ;ATA;11;2022-12-10 17:01:00;2;1;AMARELO
QUARTAS DE FINAL;QUARTAS DE FINAL 3;INGLATERRA;HENDERSON;VOL;8;2022-12-10 17:03:00;2;1;AMARELO
QUARTAS DE FINAL;QUARTAS DE FINAL 3;FRANÇA;THEO HERNÁNDEZ;LAE;22;2022-12-10 17:37:00;2;1;AMARELO
QUARTAS DE FINAL;QUARTAS DE FINAL 3;INGLATERRA;MAGUIRE;ZAE;6;2022-12-10 17:44:00;2;1;AMARELO
QUARTAS DE FINAL;QUARTAS DE FINAL 4;MORROCOS;DARI;ZAD;20;2022-12-10 13:24:00;2;1;AMARELO
QUARTAS DE FINAL;QUARTAS DE FINAL 4;PORTUGAL;VITINHA;VOL;16;2022-12-10 13:41:00;2;1;AMARELO
QUARTAS DE FINAL;QUARTAS DE FINAL 4;MORROCOS;CHEDDIRA;ATA;21;2022-12-10 13:46:00;2;1;AMARELO
QUARTAS DE FINAL;QUARTAS DE FINAL 4;MORROCOS;CHEDDIRA;ATA;21;2022-12-10 13:47:00;2;1;VERMELHO
