NOMFASE;NUMRODADA;NOMSELECAO;NUMFINALIZACOES;NUMFINALIZACAOGOL;NUMFINALIZACAOFORA;NUMFINALIZACAONATRAVE;NUMFINALIZACAOBLOQUEADAS;NUMPENALTI;NUMIMPEDIMENTO;NUMDEFESAS;NUMDESARME;NUMFALTACOMETIDA;NUMFALTARECEBIDA
FASE DE GRUPO;1ª RODADA;PORTUGAL;11;5;3;0;3;1;1;2;17;14;18
FASE DE GRUPO;1ª RODADA;GANA;8;3;4;0;1;0;1;4;10;18;14
FASE DE GRUPO;1ª RODADA;BRASIL;22;9;7;2;4;0;1;2;21;7;11
FASE DE GRUPO;1ª RODADA;SÉRVIA;5;0;4;0;1;0;0;9;19;11;7
FASE DE GRUPO;2ª RODADA;PAÍS DE GALES;6;3;3;0;0;0;2;12;8;9;10
FASE DE GRUPO;2ª RODADA;IRÃ;21;6;3;2;10;0;2;3;23;10;9
FASE DE GRUPO;2ª RODADA;CATAR;9;3;5;0;1;0;4;4;21;7;12
FASE DE GRUPO;2ª RODADA;SENEGAL;10;4;5;0;1;0;3;1;18;12;7
FASE DE GRUPO;2ª RODADA;HOLANDA;2;1;1;0;0;0;1;6;18;15;12
FASE DE GRUPO;2ª RODADA;EQUADOR;12;4;2;1;5;0;4;0;19;12;15
FASE DE GRUPO;2ª RODADA;EUA;10;1;6;1;2;0;0;4;7;15;9
FASE DE GRUPO;2ª RODADA;INGLATERRA;7;3;4;0;0;0;1;4;18;9;15
FASE DE GRUPO;2ª RODADA;TUNÍSIA;13;4;5;0;4;0;3;3;10;16;15
FASE DE GRUPO;2ª RODADA;AUSTRÁLIA;7;2;3;0;2;0;0;9;23;15;16
FASE DE GRUPO;2ª RODADA;POLÔNIA;9;3;3;2;1;0;0;4;8;17;15
FASE DE GRUPO;2ª RODADA;ARÁBIA SAUDITA;16;5;9;0;2;1;0;2;20;15;17
FASE DE GRUPO;2ª RODADA;FRANÇA;20;6;7;0;7;0;1;3;18;4;9
FASE DE GRUPO;2ª RODADA;DINAMARCA;9;2;4;1;2;0;1;9;11;9;4
FASE DE GRUPO;2ª RODADA;ARGENTINA;6;3;3;0;0;0;2;2;8;15;19
FASE DE GRUPO;2ª RODADA;MÉXICO;4;1;2;0;1;0;4;1;20;19;15
FASE DE GRUPO;2ª RODADA;JAPÃO;13;3;3;0;7;0;0;2;16;22;9
FASE DE GRUPO;2ª RODADA;COSTA RICA;4;1;0;0;3;0;2;7;20;9;22
FASE DE GRUPO;2ª RODADA;BÉLGICA;10;4;6;0;0;0;3;2;14;19;14
FASE DE GRUPO;2ª RODADA;MORROCOS;18;4;6;0;0;0;3;5;19;14;19
FASE DE GRUPO;2ª RODADA;CROÁCIA;12;10;2;0;0;0;1;2;18;13;5
FASE DE GRUPO;2ª RODADA;CANADA;8;2;3;0;3;0;3;2;16;5;13
FASE DE GRUPO;2ª RODADA;ESPANHA;7;2;3;1;1;0;2;2;13;13;11
FASE DE GRUPO;2ª RODADA;ALEMANHA;10;4;5;0;1;0;5;3;30;11;13
FASE DE GRUPO;2ª RODADA;CAMARÕES;12;8;2;0;2;0;0;4;11;8;13
FASE DE GRUPO;2ª RODADA;SÉRVIA;14;5;7;1;1;0;4;7;18;13;8
FASE DE GRUPO;2ª RODADA;BRASIL;10;5;3;0;2;0;3;4;19;10;17
FASE DE GRUPO;2ª RODADA;SUIÇA;5;0;2;0;3;0;1;8;16;17;10
FASE DE GRUPO;2ª RODADA;COREIA DO SUL;18;6;6;0;6;0;1;0;8;13;9
FASE DE GRUPO;2ª RODADA;GANA;6;3;3;0;0;0;1;8;17;9;13
FASE DE GRUPO;2ª RODADA;PORTUGAL;14;3;7;1;3;0;3;2;2;10;15
FASE DE GRUPO;2ª RODADA;URUGUAI;10;3;5;1;1;0;0;4;4;15;10
FASE DE GRUPO;3ª RODADA;HOLANDA;12;4;5;1;2;0;5;4;8;19;9
FASE DE GRUPO;3ª RODADA;CATAR;6;4;2;0;0;0;0;2;15;9;19
FASE DE GRUPO;3ª RODADA;EQUADOR;8;4;2;0;2;0;0;4;8;22;11
FASE DE GRUPO;3ª RODADA;SENEGAL;14;4;7;0;3;1;3;5;16;11;22
FASE DE GRUPO;3ª RODADA;PAÍS DE GALES;8;1;4;0;3;0;1;2;16;16;9
FASE DE GRUPO;3ª RODADA;INGLATERRA;17;7;6;1;3;0;1;1;9;9;16
FASE DE GRUPO;3ª RODADA;IRÃ;3;0;3;0;0;0;2;6;12;14;10
FASE DE GRUPO;3ª RODADA;EUA;11;5;4;0;2;0;1;1;9;10;14
FASE DE GRUPO;3ª RODADA;AUSTRÁLIA;8;4;2;0;2;0;1;8;14;11;10
FASE DE GRUPO;3ª RODADA;DINAMARCA;13;3;6;0;4;0;3;5;16;10;11
FASE DE GRUPO;3ª RODADA;TUNÍSIA;6;3;3;0;0;0;3;6;17;14;6
FASE DE GRUPO;3ª RODADA;FRANÇA;10;4;4;0;2;0;2;2;24;6;14
FASE DE GRUPO;3ª RODADA;ARÁBIA SAUDITA;10;2;7;0;1;0;2;14;9;20;18
FASE DE GRUPO;3ª RODADA;MÉXICO;24;11;8;0;5;0;6;2;16;18;20
FASE DE GRUPO;3ª RODADA;POLÔNIA;4;0;1;0;3;0;0;11;11;5;11
FASE DE GRUPO;3ª RODADA;ARGENTINA;24;13;7;0;4;1;1;2;10;11;5
FASE DE GRUPO;3ª RODADA;CROÁCIA;10;4;5;0;1;0;0;8;7;7;9
FASE DE GRUPO;3ª RODADA;BÉLGICA;13;2;6;1;4;0;4;5;12;9;7
FASE DE GRUPO;3ª RODADA;CANADA;5;0;3;1;1;0;4;1;13;14;14
FASE DE GRUPO;3ª RODADA;MORROCOS;6;2;2;0;2;0;4;1;19;14;14
FASE DE GRUPO;3ª RODADA;COSTA RICA;7;5;1;0;1;0;4;12;13;3;9
FASE DE GRUPO;3ª RODADA;ALEMANHA;30;11;13;3;3;0;3;4;13;9;3
FASE DE GRUPO;3ª RODADA;JAPÃO;6;3;2;0;1;0;2;9;7;9;7
FASE DE GRUPO;3ª RODADA;ESPANHA;13;5;3;0;5;0;2;2;7;7;8
FASE DE GRUPO;3ª RODADA;COREIA DO SUL;12;6;4;0;2;0;1;8;10;9;10
FASE DE GRUPO;3ª RODADA;PORTUGAL;13;6;5;0;2;0;5;8;10;10;9
FASE DE GRUPO;3ª RODADA;GANA;9;3;4;0;1;1;1;3;25;18;10
FASE DE GRUPO;3ª RODADA;URUGUAI;12;7;5;1;0;0;2;5;33;10;18
FASE DE GRUPO;3ª RODADA;SÉRVIA;11;3;4;1;3;0;0;6;10;18;14
FASE DE GRUPO;3ª RODADA;SUIÇA;14;7;3;0;4;0;0;2;15;14;18
FASE DE GRUPO;3ª RODADA;CAMARÕES;6;3;3;0;0;0;0;6;22;14;14
FASE DE GRUPO;3ª RODADA;BRASIL;19;8;10;0;1;0;1;2;18;14;14
FINAL;FINAL;ARGENTINA;21;10;9;0;2;1;4;3;30;24;18
FINAL;FINAL;FRANÇA;10;5;3;0;2;1;4;11;26;18;24
OITAVAS DE FINAL;OITAVAS DE FINAL 1;HOLANDA;11;6;4;0;1;0;0;8;23;10;5
OITAVAS DE FINAL;OITAVAS DE FINAL 1;EUA;16;7;4;0;5;0;3;3;14;5;10
OITAVAS DE FINAL;OITAVAS DE FINAL 2;ARGENTINA;14;5;7;0;2;0;3;3;19;8;15
OITAVAS DE FINAL;OITAVAS DE FINAL 2;AUSTRÁLIA;5;1;2;0;2;0;0;3;13;15;8
OITAVAS DE FINAL;OITAVAS DE FINAL 3;JAPÃO;11;4;5;0;2;0;3;5;21;13;16
OITAVAS DE FINAL;OITAVAS DE FINAL 3;CROÁCIA;16;3;7;0;6;0;0;6;21;16;13
OITAVAS DE FINAL;OITAVAS DE FINAL 4;BRASIL;17;10;7;0;0;1;0;2;20;8;12
OITAVAS DE FINAL;OITAVAS DE FINAL 4;COREIA DO SUL;8;6;2;0;0;0;5;6;19;12;8
OITAVAS DE FINAL;OITAVAS DE FINAL 5;INGLATERRA;8;4;4;0;0;0;0;2;15;16;12
OITAVAS DE FINAL;OITAVAS DE FINAL 5;SENEGAL;10;1;6;0;3;0;0;1;11;12;16
OITAVAS DE FINAL;OITAVAS DE FINAL 6;FRANÇA;14;8;6;0;0;0;2;5;10;9;8
OITAVAS DE FINAL;OITAVAS DE FINAL 6;POLÔNIA;11;3;5;0;3;1;1;7;14;8;9
OITAVAS DE FINAL;OITAVAS DE FINAL 7;MORROCOS;6;2;3;0;1;0;5;8;18;15;14
OITAVAS DE FINAL;OITAVAS DE FINAL 7;ESPANHA;14;2;6;1;5;0;4;1;13;14;15
OITAVAS DE FINAL;OITAVAS DE FINAL 8;PORTUGAL;13;9;2;0;2;0;3;4;13;12;10
OITAVAS DE FINAL;OITAVAS DE FINAL 8;SUIÇA;9;3;6;0;0;0;3;4;5;10;12
QUARTAS DE FINAL;QUARTAS DE FINAL 1;HOLANDA;6;2;2;0;2;0;1;6;16;29;18
QUARTAS DE FINAL;QUARTAS DE FINAL 1;ARGENTINA;15;6;7;1;1;1;2;1;20;18;29
QUARTAS DE FINAL;QUARTAS DE FINAL 2;CROÁCIA;8;1;4;0;3;0;3;11;24;22;24
QUARTAS DE FINAL;QUARTAS DE FINAL 2;BRASIL;19;11;4;0;4;0;3;3;23;24;22
QUARTAS DE FINAL;QUARTAS DE FINAL 3;INGLATERRA;13;7;3;1;2;2;1;2;15;10;12
QUARTAS DE FINAL;QUARTAS DE FINAL 3;FRANÇA;8;5;2;0;1;0;2;7;12;12;10
QUARTAS DE FINAL;QUARTAS DE FINAL 4;MORROCOS;9;3;6;0;0;0;2;4;13;15;9
QUARTAS DE FINAL;QUARTAS DE FINAL 4;PORTUGAL;10;3;5;1;1;0;2;2;17;9;15
SEMI FINAL;SEMI FINAL 1;ARGENTINA;9;7;2;0;0;1;1;5;23;15;7
SEMI FINAL;SEMI FINAL 1;CROÁCIA;11;2;7;0;2;0;0;3;15;7;15
SEMI FINAL;SEMI FINAL 2;FRANÇA;14;3;5;1;5;0;4;5;18;10;11
SEMI FINAL;SEMI FINAL 2;MORROCOS;11;2;4;1;4;0;3;5;15;11;10
TERCEIRO LUGAR;TERCEIRO LUGAR;CROÁCIA;12;4;6;0;2;0;2;0;17;13;10
TERCEIRO LUGAR;TERCEIRO LUGAR;MORROCOS;7;2;5;0;0;0;2;3;11;10;13
