NOMJOGADOR;NUMCAMISA;NOMPOSICAO;NOMSELECAO
BEIRANVAND;1;GOL;IRÃ
MOHARRAMI;2;LAD;IRÃ
HAJSAFI;3;VOL;IRÃ
KHALILZADEH;4;ZAD;IRÃ
MOHAMMADI;5;LAE;IRÃ
EZATOLAHI;6;VOL;IRÃ
JAHANBAKHSH;7;ATA;IRÃ
POURALIGANJI;8;ATA;IRÃ
TAREMI;9;ATA;IRÃ
ANSARIFARD;10;ATA;IRÃ
AMIRI;11;MEC;IRÃ
NIAZMAND;12;GOL;IRÃ
KANAANI;13;ZAD;IRÃ
GHODDOS;14;MEC;IRÃ
CHESHMI;15;ZAD;IRÃ
TORABI;16;MEC;IRÃ
GHOLIZADEH;17;MEC;IRÃ
KARIMI;18;MEC;IRÃ
MAJID HOSSEINI;19;ZAE;IRÃ
AZMOUN;20;ATA;IRÃ
NOUROLLAHI;21;MEC;IRÃ
ABEDZADEH;22;GOL;IRÃ
REZAEIAN;23;LAD;IRÃ
HOSSEIN HOSSEINI;24;GOL;IRÃ
JALALI;25;LAE;IRÃ
JOGADOR GOL CONTRA;99;ATA;IRÃ
TURNER;1;GOL;EUA
DEST;2;LAD;EUA
ZIMMERMAN;3;ZAD;EUA
ADAMS;4;VOL;EUA
ROBINSON;5;LAE;EUA
MUSAH;6;VOL;EUA
REYNA;7;MEC;EUA
MCKENNIE;8;VOL;EUA
JESÚS FERREIRA;9;ATA;EUA
PULISIC;10;ATA;EUA
AARONSON;11;MEC;EUA
HORVATH;12;GOL;EUA
REAM;13;ZAE;EUA
DE LA TORRE;14;VOL;EUA
LONG;15;ZAD;EUA
MORRIS;16;ATA;EUA
ROLDÁN;17;VOL;EUA
MOORE;18;LAD;EUA
WRIGHT;19;ATA;EUA
CARTER-VICKERS;20;ZAD;EUA
WEAH;21;ATA;EUA
YEDLIN;22;LAD;EUA
ACOSTA;23;VOL;EUA
SARGENT;24;ATA;EUA
JOHNSON;25;GOL;EUA
SCALLY;26;LAD;EUA
JOGADOR GOL CONTRA;99;ATA;EUA
HENNESSEY;1;GOL;PAÍS DE GALES
GUNTER;2;LAD;PAÍS DE GALES
NECO WILLIAMS;3;LAE;PAÍS DE GALES
BEN DAVIES;4;ZAE;PAÍS DE GALES
MEPHAM;5;ZAD;PAÍS DE GALES
RODON;6;ZAG;PAÍS DE GALES
ALLEN;7;VOL;PAÍS DE GALES
HARRY WILSON;8;MEC;PAÍS DE GALES
BRENNAN JOHNSON;9;ATA;PAÍS DE GALES
RAMSEY;10;MEC;PAÍS DE GALES
BALE;11;ATA;PAÍS DE GALES
WARD;12;GOL;PAÍS DE GALES
MOORE;13;ATA;PAÍS DE GALES
CONNOR ROBERTS;14;LAD;PAÍS DE GALES
AMPADU;15;VOL;PAÍS DE GALES
MORRELL;16;VOL;PAÍS DE GALES
LOCKYER;17;ZAD;PAÍS DE GALES
JONATHAN WILLIAMS;18;MEC;PAÍS DE GALES
HARRIS;19;ATA;PAÍS DE GALES
DANIEL JAMES;20;ATA;PAÍS DE GALES
ADAM DAVIES;21;GOL;PAÍS DE GALES
SORBA THOMAS;22;ATA;PAÍS DE GALES
LEVITT;23;VOL;PAÍS DE GALES
CABANGO;24;ZAD;PAÍS DE GALES
COLWILL;25;MEC;PAÍS DE GALES
MATT SMITH;26;VOL;PAÍS DE GALES
JOGADOR GOL CONTRA;99;ATA;PAÍS DE GALES
ARMANI;1;GOL;ARGENTINA
FOYTH;2;LAD;ARGENTINA
TAGLIAFICO;3;LAE;ARGENTINA
MONTIEL;4;LAD;ARGENTINA
PAREDES;5;VOL;ARGENTINA
PEZZELLA;6;ZAD;ARGENTINA
DE PAUL;7;VOL;ARGENTINA
ACUÑA;8;LAE;ARGENTINA
JULIÁN ÁLVAREZ;9;ATA;ARGENTINA
MESSI;10;ATA;ARGENTINA
DI MARÍA;11;ATA;ARGENTINA
RULLI;12;GOL;ARGENTINA
CRISTIAN ROMERO;13;ZAD;ARGENTINA
PALACIOS;14;VOL;ARGENTINA
ÁNGEL CORREA;15;ATA;ARGENTINA
ALMADA;16;MEC;ARGENTINA
PAPU GÓMEZ;17;MEC;ARGENTINA
GUIDO RODRÍGUEZ;18;VOL;ARGENTINA
OTAMENDI;19;ZAE;ARGENTINA
MAC ALLISTER;20;VOL;ARGENTINA
DYBALA;21;ATA;ARGENTINA
LAUTARO MARTÍNEZ;22;ATA;ARGENTINA
EMILIANO MARTÍNEZ;23;GOL;ARGENTINA
ENZO FERNÁNDEZ;24;VOL;ARGENTINA
LISANDRO MARTÍNEZ;25;ZAE;ARGENTINA
MOLINA;26;LAD;ARGENTINA
JOGADOR GOL CONTRA;99;ATA;ARGENTINA
AL-YAMI;1;GOL;ARÁBIA SAUDITA
AL-GHANAM;2;LAD;ARÁBIA SAUDITA
MADU;3;ZAE;ARÁBIA SAUDITA
AL-AMRI;4;ZAD;ARÁBIA SAUDITA
AL-BULAYHI;5;ZAE;ARÁBIA SAUDITA
AL-BURAYK;6;LAD;ARÁBIA SAUDITA
AL-FARAJ;7;VOL;ARÁBIA SAUDITA
AL-MALKI;8;VOL;ARÁBIA SAUDITA
AL-BRIKAN;9;ATA;ARÁBIA SAUDITA
SALEM AL-DAWSARI;10;ATA;ARÁBIA SAUDITA
AL-SHEHRI;11;ATA;ARÁBIA SAUDITA
ABDULHAMID;12;LAD;ARÁBIA SAUDITA
AL-SHAHRANI;13;LAE;ARÁBIA SAUDITA
OTAYF;14;VOL;ARÁBIA SAUDITA
AL-HASSAN;15;VOL;ARÁBIA SAUDITA
AL-NAJI;16;MEC;ARÁBIA SAUDITA
AL-TAMBAKTI;17;ZAD;ARÁBIA SAUDITA
AL-ABID;18;MEC;ARÁBIA SAUDITA
BAHBRI;19;MEC;ARÁBIA SAUDITA
AL-OBUD;20;ATA;ARÁBIA SAUDITA
AL-OWAIS;21;GOL;ARÁBIA SAUDITA
AL-AQIDI;22;GOL;ARÁBIA SAUDITA
KANNO;23;VOL;ARÁBIA SAUDITA
NASSER AL-DAWSARI;24;LAE;ARÁBIA SAUDITA
ASIRI;25;ATA;ARÁBIA SAUDITA
SHARAHILI;26;VOL;ARÁBIA SAUDITA
JOGADOR GOL CONTRA;99;ATA;ARÁBIA SAUDITA
TALAVERA;1;GOL;MÉXICO
NÉSTOR ARAÚJO;2;ZAD;MÉXICO
MONTES;3;ZAD;MÉXICO
EDSON ÁLVAREZ;4;VOL;MÉXICO
VÁSQUEZ;5;ZAE;MÉXICO
ARTEAGA;6;LAE;MÉXICO
ROMO;7;VOL;MÉXICO
CARLOS RODRÍGUEZ;8;VOL;MÉXICO
RAÚL JIMÉNEZ;9;ATA;MÉXICO
VEGA;10;ATA;MÉXICO
FUNES MORI;11;ATA;MÉXICO
COTA;12;GOL;MÉXICO
OCHOA;13;GOL;MÉXICO
ÉRICK GUTIÉRREZ;14;VOL;MÉXICO
HÉCTOR MORENO;15;ZAE;MÉXICO
HÉCTOR HERRERA;16;VOL;MÉXICO
PINEDA;17;VOL;MÉXICO
GUARDADO;18;VOL;MÉXICO
JORGE SÁNCHEZ;19;LAD;MÉXICO
HENRY MARTÍN;20;ATA;MÉXICO
ANTUNA;21;ATA;MÉXICO
LOZANO;22;ATA;MÉXICO
GALLARDO;23;LAE;MÉXICO
LUIS CHÁVEZ;24;VOL;MÉXICO
ALVARADO;25;MEC;MÉXICO
KEVIN ÁLVAREZ;26;LAD;MÉXICO
JOGADOR GOL CONTRA;99;ATA;MÉXICO
SZCZESNY;1;GOL;POLÔNIA
CASH;2;ZAD;POLÔNIA
JEDRZEJCZYK;3;ZAD;POLÔNIA
WIETESKA;4;ZAD;POLÔNIA
BEDNAREK;5;ZAD;POLÔNIA
BIELIK;6;VOL;POLÔNIA
MILIK;7;ATA;POLÔNIA
DAMIAN SZYMANSKI;8;VOL;POLÔNIA
LEWANDOWSKI;9;ATA;POLÔNIA
KRYCHOWIAK;10;VOL;POLÔNIA
GROSICKI;11;ATA;POLÔNIA
SKORUPSKI;12;GOL;POLÔNIA
KAMINSKI;13;MEC;POLÔNIA
KIWIOR;14;ZAE;POLÔNIA
GLIK;15;ZAD;POLÔNIA
SWIDERSKI;16;ATA;POLÔNIA
ZURKOWSKI;17;VOL;POLÔNIA
BERESZYNSKI;18;LAD;POLÔNIA
SEBASTIAN SZYMANSKI;19;MEC;POLÔNIA
ZIELINSKI;20;ATA;POLÔNIA
ZALEWSKI;21;LAE;POLÔNIA
GRABARA;22;GOL;POLÔNIA
PIATEK;23;ATA;POLÔNIA
FRANKOWSKI;24;MEC;POLÔNIA
GUMNY;25;LAD;POLÔNIA
SKORAS;26;MEC;POLÔNIA
JOGADOR GOL CONTRA;99;ATA;POLÔNIA
LLORIS;1;GOL;FRANÇA
PAVARD;2;LAD;FRANÇA
DISASI;3;ZAD;FRANÇA
VARANE;4;ZAD;FRANÇA
KOUNDÉ;5;ZAD;FRANÇA
GUENDOUZI;6;VOL;FRANÇA
GRIEZMANN;7;MEC;FRANÇA
TCHOUAMÉNI;8;VOL;FRANÇA
GIROUD;9;ATA;FRANÇA
MBAPPÉ;10;ATA;FRANÇA
DEMBÉLÉ;11;ATA;FRANÇA
KOLO MUANI;12;ATA;FRANÇA
FOFANA;13;VOL;FRANÇA
RABIOT;14;VOL;FRANÇA
VERETOUT;15;VOL;FRANÇA
MANDANDA;16;GOL;FRANÇA
SALIBA;17;ZAD;FRANÇA
UPAMECANO;18;ZAE;FRANÇA
COMAN;20;ATA;FRANÇA
LUCAS HERNÁNDEZ;21;LAE;FRANÇA
THEO HERNÁNDEZ;22;LAE;FRANÇA
AREOLA;23;GOL;FRANÇA
KONATÉ;24;ZAD;FRANÇA
CAMAVINGA;25;VOL;FRANÇA
THURAM;26;ATA;FRANÇA
JOGADOR GOL CONTRA;99;ATA;FRANÇA
MAT RYAN;1;GOL;AUSTRÁLIA
DEGENEK;2;ZAD;AUSTRÁLIA
ATKINSON;3;LAD;AUSTRÁLIA
ROWLES;4;ZAE;AUSTRÁLIA
KARACIC;5;LAD;AUSTRÁLIA
TILIO;6;MEC;AUSTRÁLIA
LECKIE;7;ATA;AUSTRÁLIA
WRIGHT;8;ZAD;AUSTRÁLIA
MACLAREN;9;ATA;AUSTRÁLIA
HRUSTIC;10;MEC;AUSTRÁLIA
MABIL;11;MEC;AUSTRÁLIA
REDMAYNE;12;GOL;AUSTRÁLIA
MOOY;13;VOL;AUSTRÁLIA
MCGREE;14;VOL;AUSTRÁLIA
DUKE;15;ATA;AUSTRÁLIA
BEHICH;16;LAE;AUSTRÁLIA
DEVLIN;17;VOL;AUSTRÁLIA
VUKOVIC;18;GOL;AUSTRÁLIA
SOUTTAR;19;ZAD;AUSTRÁLIA
DENG;20;ZAD;AUSTRÁLIA
KUOL;21;ATA;AUSTRÁLIA
IRVINE;22;VOL;AUSTRÁLIA
GOODWIN;23;MEC;AUSTRÁLIA
KING;24;LAE;AUSTRÁLIA
CUMMINGS;25;ATA;AUSTRÁLIA
BACCUS;26;VOL;AUSTRÁLIA
JOGADOR GOL CONTRA;99;ATA;AUSTRÁLIA
SCHMEICHEL;1;GOL;DINAMARCA
ANDERSEN;2;ZAD;DINAMARCA
NELSSON;3;ZAD;DINAMARCA
KJAER;4;ZAG;DINAMARCA
MAEHLE;5;LAE;DINAMARCA
ANDREAS CHRISTENSEN;6;ZAE;DINAMARCA
JENSEN;7;VOL;DINAMARCA
DELANEY;8;VOL;DINAMARCA
BRAITHWAITE;9;ATA;DINAMARCA
ERIKSEN;10;MEC;DINAMARCA
SKOV OLSEN;11;ATA;DINAMARCA
DOLBERG;12;ATA;DINAMARCA
KRISTENSEN;13;LAD;DINAMARCA
DAMSGAARD;14;MEC;DINAMARCA
NÖRGAARD;15;VOL;DINAMARCA
OLIVER CHRISTENSEN;16;GOL;DINAMARCA
STRYGER LARSEN;17;LAD;DINAMARCA
WASS;18;VOL;DINAMARCA
WIND;19;ATA;DINAMARCA
POULSEN;20;ATA;DINAMARCA
CORNELIUS;21;ATA;DINAMARCA
RÖNNOW;22;GOL;DINAMARCA
HÖJBJERG;23;VOL;DINAMARCA
SKOV;24;MEC;DINAMARCA
LINDSTRÖM;25;MEC;DINAMARCA
BAH;26;LAD;DINAMARCA
JOGADOR GOL CONTRA;99;ATA;DINAMARCA
BALBOULI;1;GOL;TUNÍSIA
IFA;2;ZAD;TUNÍSIA
TALBI;3;ZAD;TUNÍSIA
MERIAH;4;ZAE;TUNÍSIA
GHANDRI;5;ZAD;TUNÍSIA
BRONN;6;ZAG;TUNÍSIA
MSAKNI;7;ATA;TUNÍSIA
HANNIBAL MEJBRI;8;MEC;TUNÍSIA
JEBALI;9;ATA;TUNÍSIA
KHAZRI;10;ATA;TUNÍSIA
KHENISSI;11;ATA;TUNÍSIA
MAALOUL;12;LAE;TUNÍSIA
SASSI;13;VOL;TUNÍSIA
LAÏDOUNI;14;VOL;TUNÍSIA
BEN ROMDHANE;15;VOL;TUNÍSIA
DAHMEN;16;GOL;TUNÍSIA
SKHIRI;17;VOL;TUNÍSIA
CHAALALI;18;VOL;TUNÍSIA
JAZIRI;19;ATA;TUNÍSIA
DRÄGER;20;LAD;TUNÍSIA
KECHRIDA;21;LAD;TUNÍSIA
BEN SAID;22;GOL;TUNÍSIA
SLITI;23;MEC;TUNÍSIA
ABDI;24;LAE;TUNÍSIA
SLIMANE;25;ATA;TUNÍSIA
HASSEN;26;GOL;TUNÍSIA
JOGADOR GOL CONTRA;99;ATA;TUNÍSIA
ROBERT SÁNCHEZ;1;GOL;ESPANHA
AZPILICUETA;2;LAD;ESPANHA
ERIC GARCÍA;3;ZAD;ESPANHA
PAU TORRES;4;ZAE;ESPANHA
BUSQUETS;5;ZAD;ESPANHA
LLORENTE;6;VOL;ESPANHA
MORATA;7;ATA;ESPANHA
KOKE;8;VOL;ESPANHA
GAVI;9;MEC;ESPANHA
ASENSIO;10;ATA;ESPANHA
FERRÁN TORRES;11;ATA;ESPANHA
NICO WILLIAMS;12;ATA;ESPANHA
RAYA;13;GOL;ESPANHA
ÁLEX BALDE;14;LAE;ESPANHA
GUILLAMÓN;15;VOL;ESPANHA
RODRI;16;VOL;ESPANHA
YÉREMY PINO;17;ATA;ESPANHA
ALBA;18;LAE;ESPANHA
SOLER;19;VOL;ESPANHA
CARVAJAL;20;LAD;ESPANHA
DANI OLMO;21;ATA;ESPANHA
SARABIA;22;ATA;ESPANHA
UNAI SIMÓN;23;GOL;ESPANHA
LAPORTE;24;ZAE;ESPANHA
ANSU FATI;25;ATA;ESPANHA
PEDRI;26;VOL;ESPANHA
JOGADOR GOL CONTRA;99;ATA;ESPANHA
KEYLOR NAVAS;1;GOL;COSTA RICA
CHACÓN;2;VOL;COSTA RICA
VARGAS;3;ZAE;COSTA RICA
FULLER;4;ZAD;COSTA RICA
CELSO BORGES;5;VOL;COSTA RICA
ÓSCAR DUARTE;6;ZAD;COSTA RICA
CONTRERAS;7;ATA;COSTA RICA
OVIEDO;8;LAE;COSTA RICA
BENNETTE;9;MEC;COSTA RICA
BRYAN RUÍZ;10;MEC;COSTA RICA
VENEGAS;11;ATA;COSTA RICA
CAMPBELL;12;MEC;COSTA RICA
GERSON TORRES;13;MEC;COSTA RICA
SALAS;14;VOL;COSTA RICA
CALVO;15;ZAE;COSTA RICA
CARLOS MARTÍNEZ;16;LAD;COSTA RICA
TEJEDA;17;VOL;COSTA RICA
ALVARADO;18;GOL;COSTA RICA
WASTON;19;ZAD;COSTA RICA
AGUILERA;20;MEC;COSTA RICA
DOUGLAS LÓPEZ;21;VOL;COSTA RICA
MATARRITA;22;LAE;COSTA RICA
SEQUEIRA;23;GOL;COSTA RICA
ROAN WILSON;24;VOL;COSTA RICA
ANTHONY HERNÁNDEZ;25;ATA;COSTA RICA
ZAMORA;26;MEC;COSTA RICA
JOGADOR GOL CONTRA;99;ATA;COSTA RICA
NEUER;1;GOL;ALEMANHA
RÜDIGER;2;ZAD;ALEMANHA
RAUM;3;LAE;ALEMANHA
GINTER;4;ZAD;ALEMANHA
KEHRER;5;ZAD;ALEMANHA
KIMMICH;6;VOL;ALEMANHA
HAVERTZ;7;ATA;ALEMANHA
GORETZKA;8;VOL;ALEMANHA
FÜLLKRUG;9;ATA;ALEMANHA
GNABRY;10;ATA;ALEMANHA
GÖTZE;11;MEC;ALEMANHA
TRAPP;12;GOL;ALEMANHA
THOMAS MÜLLER;13;ATA;ALEMANHA
MUSIALA;14;MEC;ALEMANHA
SÜLE;15;LAD;ALEMANHA
KLOSTERMANN;16;ZAD;ALEMANHA
BRANDT;17;MEC;ALEMANHA
HOFMANN;18;MEC;ALEMANHA
SANÉ;19;MEC;ALEMANHA
GÜNTER;20;LAE;ALEMANHA
GÜNDOGAN;21;VOL;ALEMANHA
TER STEGEN;22;GOL;ALEMANHA
SCHLOTTERBECK;23;ZAE;ALEMANHA
ADEYEMI;24;ATA;ALEMANHA
BELLA-KOTCHAP;25;ZAD;ALEMANHA
MOUKOKO;26;ATA;ALEMANHA
JOGADOR GOL CONTRA;99;ATA;ALEMANHA
KAWASHIMA;1;GOL;JAPÃO
YAMANE;2;LAD;JAPÃO
TANIGUCHI;3;ZAD;JAPÃO
ITAKURA;4;ZAE;JAPÃO
NAGATOMO;5;LAE;JAPÃO
ENDO;6;VOL;JAPÃO
SHIBASAKI;7;VOL;JAPÃO
DOAN;8;ATA;JAPÃO
MITOMA;9;MEC;JAPÃO
MINAMINO;10;ATA;JAPÃO
KUBO;11;MEC;JAPÃO
GONDA;12;GOL;JAPÃO
MORITA;13;VOL;JAPÃO
JUNYA ITO;14;ATA;JAPÃO
KAMADA;15;MEC;JAPÃO
TOMIYASU;16;LAD;JAPÃO
TANAKA;17;VOL;JAPÃO
ASANO;18;ATA;JAPÃO
SAKAI;19;LAD;JAPÃO
MACHINO;20;ATA;JAPÃO
UEDA;21;ATA;JAPÃO
YOSHIDA;22;ZAD;JAPÃO
SCHMIDT;23;GOL;JAPÃO
SOMA;24;MEC;JAPÃO
MAEDA;25;ATA;JAPÃO
HIROKI ITO;26;ZAE;JAPÃO
JOGADOR GOL CONTRA;99;ATA;JAPÃO
COURTOIS;1;GOL;BÉLGICA
ALDERWEIRELD;2;ZAG;BÉLGICA
THEATE;3;ZAE;BÉLGICA
FAES;4;ZAD;BÉLGICA
VERTONGHEN;5;ZAE;BÉLGICA
WITSEL;6;VOL;BÉLGICA
DE BRUYNE;7;MEC;BÉLGICA
TIELEMANS;8;VOL;BÉLGICA
LUKAKU;9;ATA;BÉLGICA
EDEN HAZARD;10;MEC;BÉLGICA
CARRASCO;11;LAE;BÉLGICA
MIGNOLET;12;GOL;BÉLGICA
CASTEELS;13;GOL;BÉLGICA
MERTENS;14;ATA;BÉLGICA
MEUNIER;15;LAD;BÉLGICA
THORGAN HAZARD;16;MEC;BÉLGICA
TROSSARD;17;MEC;BÉLGICA
ONANA;18;VOL;BÉLGICA
DENDONCKER;19;ZAD;BÉLGICA
VANAKEN;20;MEC;BÉLGICA
CASTAGNE;21;LAD;BÉLGICA
DE KETELAERE;22;MEC;BÉLGICA
BATSHUAYI;23;ATA;BÉLGICA
OPENDA;24;ATA;BÉLGICA
DOKU;25;ATA;BÉLGICA
DEBAST;26;ZAD;BÉLGICA
JOGADOR GOL CONTRA;99;ATA;BÉLGICA
ST. CLAIR;1;GOL;CANADA
JOHNSTON;2;ZAD;CANADA
ADEKUGBE;3;LAE;CANADA
MILLER;4;ZAE;CANADA
STEVEN VITÓRIA;5;ZAG;CANADA
PIETTE;6;VOL;CANADA
EUSTÁQUIO;7;VOL;CANADA
FRASER;8;VOL;CANADA
CAVALLINI;9;ATA;CANADA
HOILETT;10;MEC;CANADA
BUCHANAN;11;MEC;CANADA
UGBO;12;ATA;CANADA
HUTCHINSON;13;VOL;CANADA
KAYE;14;VOL;CANADA
KONÉ;15;VOL;CANADA
PANTEMIS;16;GOL;CANADA
LARIN;17;ATA;CANADA
BORJAN;18;GOL;CANADA
DAVIES;19;LAE;CANADA
JONATHAN DAVID;20;ATA;CANADA
OSORIO;21;VOL;CANADA
LARYEA;22;LAD;CANADA
MILLAR;23;ATA;CANADA
WOTHERSPOON;24;MEC;CANADA
CORNELIUS;25;ZAD;CANADA
WATERMAN;26;ZAD;CANADA
JOGADOR GOL CONTRA;99;ATA;CANADA
BONO;1;GOL;MORROCOS
HAKIMI;2;LAD;MORROCOS
MAZRAOUI;3;LAE;MORROCOS
AMRABAT;4;VOL;MORROCOS
AGUERD;5;ZAD;MORROCOS
SAÏSS;6;ZAE;MORROCOS
ZIYECH;7;MEC;MORROCOS
OUNAHI;8;VOL;MORROCOS
HAMDALLAH;9;ATA;MORROCOS
ZAROURY;10;ATA;MORROCOS
SABIRI;11;MEC;MORROCOS
MUNIR;12;GOL;MORROCOS
CHAIR;13;MEC;MORROCOS
ABOUKHLAL;14;ATA;MORROCOS
AMALLAH;15;MEC;MORROCOS
EZ ABDE;16;ATA;MORROCOS
BOUFAL;17;MEC;MORROCOS
EL YAMIQ;18;ZAD;MORROCOS
EN-NESYRI;19;ATA;MORROCOS
DARI;20;ZAD;MORROCOS
CHEDDIRA;21;ATA;MORROCOS
TAGNAOUTI;22;GOL;MORROCOS
EL KHANNOUSS;23;MEC;MORROCOS
BENOUN;24;ZAD;MORROCOS
ATTIAT-ALLAH;25;LAE;MORROCOS
JABRANE;26;VOL;MORROCOS
JOGADOR GOL CONTRA;99;ATA;MORROCOS
LIVAKOVIC;1;GOL;CROÁCIA
STANISIC;2;LAD;CROÁCIA
BARISIC;3;LAE;CROÁCIA
PERISIC;4;MEC;CROÁCIA
ERLIC;5;ZAD;CROÁCIA
LOVREN;6;ZAD;CROÁCIA
MAJER;7;MEC;CROÁCIA
KOVACIC;8;VOL;CROÁCIA
KRAMARIC;9;ATA;CROÁCIA
MODRIC;10;VOL;CROÁCIA
