NOMFASE;NUMRODADA;NOMSELECAO;NOMJOGADOR;NOMPOSICAO;NUMCAMISA;INDTITULARIDADE
FASE DE GRUPO;1ª RODADA;SENEGAL;NICOLAS JACKSON;ATA;7;RESERVA
FASE DE GRUPO;1ª RODADA;SENEGAL;BOULAYE DIA;ATA;9;TITULAR
FASE DE GRUPO;1ª RODADA;SENEGAL;BAMBA DIENG;ATA;20;RESERVA
FASE DE GRUPO;1ª RODADA;SENEGAL;ISMAILA SARR;ATA;18;TITULAR
FASE DE GRUPO;1ª RODADA;SENEGAL;SENY DIENG;GOL;1;RESERVA
FASE DE GRUPO;1ª RODADA;SENEGAL;GOMIS;GOL;23;RESERVA
FASE DE GRUPO;1ª RODADA;SENEGAL;FORMOSE MENDY;ZAD;2;RESERVA
FASE DE GRUPO;1ª RODADA;SENEGAL;MOUSSA N´DIAYE;LAE;10;RESERVA
FASE DE GRUPO;1ª RODADA;SENEGAL;BALLO-TOURÉ;LAE;12;RESERVA
FASE DE GRUPO;1ª RODADA;SENEGAL;CISS;VOL;11;RESERVA
FASE DE GRUPO;1ª RODADA;SENEGAL;PAPE SARR;VOL;17;RESERVA
FASE DE GRUPO;1ª RODADA;SENEGAL;NAME;VOL;24;RESERVA
FASE DE GRUPO;1ª RODADA;SENEGAL;LOUM NDIAYE;VOL;25;RESERVA
FASE DE GRUPO;1ª RODADA;SENEGAL;ILIMAN NDIAYE;MEC;13;RESERVA
FASE DE GRUPO;1ª RODADA;SENEGAL;DIÉDHIOU;ATA;19;RESERVA
FASE DE GRUPO;1ª RODADA;HOLANDA;NOPPERT;GOL;23;TITULAR
FASE DE GRUPO;1ª RODADA;HOLANDA;DE LIGT;ZAD;3;TITULAR
FASE DE GRUPO;1ª RODADA;HOLANDA;VAN DIJK;ZAG;4;TITULAR
FASE DE GRUPO;1ª RODADA;HOLANDA;AKÉ;ZAE;5;TITULAR
FASE DE GRUPO;1ª RODADA;HOLANDA;DUMFRIES;LAD;22;TITULAR
FASE DE GRUPO;1ª RODADA;HOLANDA;BERGHUIS;VOL;11;TITULAR
FASE DE GRUPO;1ª RODADA;HOLANDA;KOOPMEINERS;VOL;20;RESERVA
FASE DE GRUPO;1ª RODADA;HOLANDA;FRENKIE DE JONG;VOL;21;TITULAR
FASE DE GRUPO;1ª RODADA;HOLANDA;GAKPO;MEC;8;TITULAR
FASE DE GRUPO;1ª RODADA;HOLANDA;DE ROON;VOL;15;RESERVA
FASE DE GRUPO;1ª RODADA;HOLANDA;BLIND;LAE;17;TITULAR
FASE DE GRUPO;1ª RODADA;HOLANDA;JANSSEN;ATA;18;TITULAR
FASE DE GRUPO;1ª RODADA;HOLANDA;MEMPHIS DEPAY;ATA;10;RESERVA
FASE DE GRUPO;1ª RODADA;HOLANDA;BERGWIJN;ATA;7;TITULAR
FASE DE GRUPO;1ª RODADA;HOLANDA;KLAASSEN;MEC;14;RESERVA
FASE DE GRUPO;1ª RODADA;HOLANDA;PASVEER;GOL;1;RESERVA
FASE DE GRUPO;1ª RODADA;HOLANDA;BIJLOW;GOL;13;RESERVA
FASE DE GRUPO;1ª RODADA;HOLANDA;FRIMPONG;LAD;26;RESERVA
FASE DE GRUPO;1ª RODADA;HOLANDA;TIMBER;ZAD;2;RESERVA
FASE DE GRUPO;1ª RODADA;HOLANDA;DE VRIJ;ZAD;6;RESERVA
FASE DE GRUPO;1ª RODADA;HOLANDA;MALACIA;LAE;16;RESERVA
FASE DE GRUPO;1ª RODADA;HOLANDA;TAYLOR;VOL;24;RESERVA
FASE DE GRUPO;1ª RODADA;HOLANDA;SIMONS;MEC;25;RESERVA
FASE DE GRUPO;1ª RODADA;HOLANDA;LUUK DE JONG;ATA;9;RESERVA
FASE DE GRUPO;1ª RODADA;HOLANDA;LANG;ATA;12;RESERVA
FASE DE GRUPO;1ª RODADA;HOLANDA;WEGHORST;ATA;19;RESERVA
FASE DE GRUPO;2ª RODADA;CATAR;AL-SHEEB;GOL;1;RESERVA
FASE DE GRUPO;2ª RODADA;CATAR;PEDRO MIGUEL;LAD;2;TITULAR
FASE DE GRUPO;2ª RODADA;CATAR;AL-RAWI;ZAD;15;RESERVA
FASE DE GRUPO;2ª RODADA;CATAR;KHOUKHI;ZAG;16;TITULAR
FASE DE GRUPO;2ª RODADA;CATAR;ABDELKARIM HASSAN;ZAE;3;TITULAR
FASE DE GRUPO;2ª RODADA;CATAR;HOMAM AHMED;LAE;14;TITULAR
FASE DE GRUPO;2ª RODADA;CATAR;HATIM;VOL;6;RESERVA
FASE DE GRUPO;2ª RODADA;CATAR;BOUDIAF;VOL;12;TITULAR
FASE DE GRUPO;2ª RODADA;CATAR;AL-HAYDOS;MEC;10;TITULAR
FASE DE GRUPO;2ª RODADA;CATAR;MOHAMMED WAAD;VOL;4;RESERVA
FASE DE GRUPO;2ª RODADA;CATAR;AKRAM AFIF;ATA;11;TITULAR
FASE DE GRUPO;2ª RODADA;CATAR;ALMOEZ ALI;ATA;19;TITULAR
FASE DE GRUPO;2ª RODADA;CATAR;MUNTARI;ATA;9;RESERVA
FASE DE GRUPO;2ª RODADA;CATAR;YOUSEF HASSAN;GOL;21;RESERVA
FASE DE GRUPO;2ª RODADA;CATAR;BARSHAM;GOL;22;TITULAR
FASE DE GRUPO;2ª RODADA;CATAR;KHIDIR;LAD;13;RESERVA
FASE DE GRUPO;2ª RODADA;CATAR;GABER ABDULSALLAM;ZAD;25;RESERVA
FASE DE GRUPO;2ª RODADA;CATAR;SALMAN;ZAE;5;RESERVA
FASE DE GRUPO;2ª RODADA;CATAR;AL-HAJRI;VOL;20;RESERVA
FASE DE GRUPO;2ª RODADA;CATAR;MADIBO;VOL;23;TITULAR
FASE DE GRUPO;2ª RODADA;CATAR;MASHAAL;VOL;26;RESERVA
FASE DE GRUPO;2ª RODADA;CATAR;ALI ASAD;MEC;8;RESERVA
FASE DE GRUPO;2ª RODADA;CATAR;ISMAEEL MOHAMMED;MEC;17;TITULAR
FASE DE GRUPO;2ª RODADA;CATAR;AL-HADHRAMI;MEC;24;RESERVA
FASE DE GRUPO;2ª RODADA;CATAR;AHMED ALAAELDIN;ATA;7;RESERVA
FASE DE GRUPO;2ª RODADA;CATAR;MUNEER MAZEED;ATA;18;RESERVA
FASE DE GRUPO;2ª RODADA;SENEGAL;ÉDOUARD MENDY;GOL;16;TITULAR
FASE DE GRUPO;2ª RODADA;SENEGAL;SABALY;LAD;21;TITULAR
FASE DE GRUPO;2ª RODADA;SENEGAL;KOULIBALY;ZAD;3;TITULAR
FASE DE GRUPO;2ª RODADA;SENEGAL;CISSÉ;ZAE;4;RESERVA
FASE DE GRUPO;2ª RODADA;SENEGAL;ABDOU DIALLO;LAE;22;TITULAR
FASE DE GRUPO;2ª RODADA;SENEGAL;JAKOBS;LAE;14;TITULAR
FASE DE GRUPO;2ª RODADA;SENEGAL;KOUYATÉ;VOL;8;RESERVA
FASE DE GRUPO;2ª RODADA;SENEGAL;PAPE GUEYE;VOL;26;RESERVA
FASE DE GRUPO;2ª RODADA;SENEGAL;GANA GUEYE;VOL;5;TITULAR
FASE DE GRUPO;2ª RODADA;SENEGAL;NAMPALYS MENDY;VOL;6;TITULAR
FASE DE GRUPO;2ª RODADA;SENEGAL;DIATTA;ATA;15;TITULAR
FASE DE GRUPO;2ª RODADA;SENEGAL;NICOLAS JACKSON;ATA;7;RESERVA
FASE DE GRUPO;2ª RODADA;SENEGAL;BOULAYE DIA;ATA;9;TITULAR
FASE DE GRUPO;2ª RODADA;SENEGAL;BAMBA DIENG;ATA;20;RESERVA
FASE DE GRUPO;2ª RODADA;SENEGAL;ISMAILA SARR;ATA;18;TITULAR
FASE DE GRUPO;2ª RODADA;SENEGAL;SENY DIENG;GOL;1;RESERVA
FASE DE GRUPO;2ª RODADA;SENEGAL;GOMIS;GOL;23;RESERVA
FASE DE GRUPO;2ª RODADA;SENEGAL;FORMOSE MENDY;ZAD;2;RESERVA
FASE DE GRUPO;2ª RODADA;SENEGAL;MOUSSA N´DIAYE;LAE;10;RESERVA
FASE DE GRUPO;2ª RODADA;SENEGAL;BALLO-TOURÉ;LAE;12;RESERVA
FASE DE GRUPO;2ª RODADA;SENEGAL;CISS;VOL;11;RESERVA
FASE DE GRUPO;2ª RODADA;SENEGAL;PAPE SARR;VOL;17;RESERVA
FASE DE GRUPO;2ª RODADA;SENEGAL;NAME;VOL;24;RESERVA
FASE DE GRUPO;2ª RODADA;SENEGAL;LOUM NDIAYE;VOL;25;RESERVA
FASE DE GRUPO;2ª RODADA;SENEGAL;ILIMAN NDIAYE;MEC;13;RESERVA
FASE DE GRUPO;2ª RODADA;SENEGAL;DIÉDHIOU;ATA;19;TITULAR
FASE DE GRUPO;2ª RODADA;EQUADOR;GALÍNDEZ;GOL;1;TITULAR
FASE DE GRUPO;2ª RODADA;EQUADOR;ÁNGELO PRECIADO;LAD;17;TITULAR
FASE DE GRUPO;2ª RODADA;EQUADOR;FÉLIX TORRES;ZAD;2;TITULAR
FASE DE GRUPO;2ª RODADA;EQUADOR;HINCAPIÉ;ZAE;3;TITULAR
FASE DE GRUPO;2ª RODADA;EQUADOR;ESTUPIÑÁN;LAE;7;TITULAR
FASE DE GRUPO;2ª RODADA;EQUADOR;JHEGSON MÉNDEZ;VOL;20;TITULAR
FASE DE GRUPO;2ª RODADA;EQUADOR;MOISÉS CAICEDO;VOL;23;TITULAR
FASE DE GRUPO;2ª RODADA;EQUADOR;ALAN FRANCO;VOL;21;RESERVA
FASE DE GRUPO;2ª RODADA;EQUADOR;PLATA;MEC;19;TITULAR
FASE DE GRUPO;2ª RODADA;EQUADOR;ROMARIO IBARRA;MEC;10;RESERVA
FASE DE GRUPO;2ª RODADA;EQUADOR;SARMIENTO;MEC;16;RESERVA
FASE DE GRUPO;2ª RODADA;EQUADOR;ESTRADA;ATA;11;TITULAR
FASE DE GRUPO;2ª RODADA;EQUADOR;KEVIN RODRÍGUEZ;ATA;26;RESERVA
FASE DE GRUPO;2ª RODADA;EQUADOR;ENNER VALENCIA;ATA;13;TITULAR
FASE DE GRUPO;2ª RODADA;EQUADOR;CIFUENTES;VOL;5;RESERVA
FASE DE GRUPO;2ª RODADA;EQUADOR;MOISÉS RAMÍREZ;GOL;12;RESERVA
FASE DE GRUPO;2ª RODADA;EQUADOR;DOMÍNGUEZ;GOL;22;RESERVA
FASE DE GRUPO;2ª RODADA;EQUADOR;ARBOLEDA;ZAD;4;RESERVA
FASE DE GRUPO;2ª RODADA;EQUADOR;ARREAGA;ZAD;14;RESERVA
FASE DE GRUPO;2ª RODADA;EQUADOR;POROZO;ZAD;25;TITULAR
FASE DE GRUPO;2ª RODADA;EQUADOR;PACHO;ZAE;6;RESERVA
FASE DE GRUPO;2ª RODADA;EQUADOR;PALACIOS;LAE;18;RESERVA
FASE DE GRUPO;2ª RODADA;EQUADOR;GRUEZO;VOL;8;RESERVA
FASE DE GRUPO;2ª RODADA;EQUADOR;MENA;MEC;15;RESERVA
FASE DE GRUPO;2ª RODADA;EQUADOR;AYRTON PRECIADO;ATA;9;RESERVA
FASE DE GRUPO;2ª RODADA;EQUADOR;REASCO;ATA;24;RESERVA
FASE DE GRUPO;2ª RODADA;HOLANDA;NOPPERT;GOL;23;TITULAR
FASE DE GRUPO;2ª RODADA;HOLANDA;DE LIGT;ZAD;3;RESERVA
FASE DE GRUPO;2ª RODADA;HOLANDA;VAN DIJK;ZAG;4;TITULAR
FASE DE GRUPO;2ª RODADA;HOLANDA;AKÉ;ZAE;5;TITULAR
FASE DE GRUPO;2ª RODADA;HOLANDA;DUMFRIES;LAD;22;TITULAR
FASE DE GRUPO;2ª RODADA;HOLANDA;BERGHUIS;VOL;11;RESERVA
FASE DE GRUPO;2ª RODADA;HOLANDA;KOOPMEINERS;VOL;20;TITULAR
FASE DE GRUPO;2ª RODADA;HOLANDA;FRENKIE DE JONG;VOL;21;TITULAR
FASE DE GRUPO;2ª RODADA;HOLANDA;GAKPO;MEC;8;TITULAR
FASE DE GRUPO;2ª RODADA;HOLANDA;DE ROON;VOL;15;RESERVA
FASE DE GRUPO;2ª RODADA;HOLANDA;BLIND;LAE;17;TITULAR
FASE DE GRUPO;2ª RODADA;HOLANDA;JANSSEN;ATA;18;RESERVA
FASE DE GRUPO;2ª RODADA;HOLANDA;MEMPHIS DEPAY;ATA;10;RESERVA
FASE DE GRUPO;2ª RODADA;HOLANDA;BERGWIJN;ATA;7;TITULAR
FASE DE GRUPO;2ª RODADA;HOLANDA;KLAASSEN;MEC;14;TITULAR
FASE DE GRUPO;2ª RODADA;HOLANDA;PASVEER;GOL;1;RESERVA
FASE DE GRUPO;2ª RODADA;HOLANDA;BIJLOW;GOL;13;RESERVA
FASE DE GRUPO;2ª RODADA;HOLANDA;FRIMPONG;LAD;26;RESERVA
FASE DE GRUPO;2ª RODADA;HOLANDA;TIMBER;ZAD;2;TITULAR
FASE DE GRUPO;2ª RODADA;HOLANDA;DE VRIJ;ZAD;6;RESERVA
FASE DE GRUPO;2ª RODADA;HOLANDA;MALACIA;LAE;16;RESERVA
FASE DE GRUPO;2ª RODADA;HOLANDA;TAYLOR;VOL;24;RESERVA
FASE DE GRUPO;2ª RODADA;HOLANDA;SIMONS;MEC;25;RESERVA
FASE DE GRUPO;2ª RODADA;HOLANDA;LUUK DE JONG;ATA;9;RESERVA
FASE DE GRUPO;2ª RODADA;HOLANDA;LANG;ATA;12;RESERVA
FASE DE GRUPO;2ª RODADA;HOLANDA;WEGHORST;ATA;19;RESERVA
FASE DE GRUPO;3ª RODADA;CATAR;AL-SHEEB;GOL;1;RESERVA
FASE DE GRUPO;3ª RODADA;CATAR;PEDRO MIGUEL;LAD;2;TITULAR
FASE DE GRUPO;3ª RODADA;CATAR;AL-RAWI;ZAD;15;RESERVA
FASE DE GRUPO;3ª RODADA;CATAR;KHOUKHI;ZAG;16;TITULAR
FASE DE GRUPO;3ª RODADA;CATAR;ABDELKARIM HASSAN;ZAE;3;TITULAR
FASE DE GRUPO;3ª RODADA;CATAR;HOMAM AHMED;LAE;14;TITULAR
FASE DE GRUPO;3ª RODADA;CATAR;HATIM;VOL;6;TITULAR
FASE DE GRUPO;3ª RODADA;CATAR;BOUDIAF;VOL;12;RESERVA
FASE DE GRUPO;3ª RODADA;CATAR;AL-HAYDOS;MEC;10;TITULAR
FASE DE GRUPO;3ª RODADA;CATAR;MOHAMMED WAAD;VOL;4;RESERVA
FASE DE GRUPO;3ª RODADA;CATAR;AKRAM AFIF;ATA;11;TITULAR
FASE DE GRUPO;3ª RODADA;CATAR;ALMOEZ ALI;ATA;19;TITULAR
FASE DE GRUPO;3ª RODADA;CATAR;MUNTARI;ATA;9;RESERVA
FASE DE GRUPO;3ª RODADA;CATAR;YOUSEF HASSAN;GOL;21;RESERVA
FASE DE GRUPO;3ª RODADA;CATAR;BARSHAM;GOL;22;TITULAR
FASE DE GRUPO;3ª RODADA;CATAR;KHIDIR;LAD;13;RESERVA
FASE DE GRUPO;3ª RODADA;CATAR;GABER ABDULSALLAM;ZAD;25;RESERVA
FASE DE GRUPO;3ª RODADA;CATAR;SALMAN;ZAE;5;RESERVA
FASE DE GRUPO;3ª RODADA;CATAR;AL-HAJRI;VOL;20;RESERVA
FASE DE GRUPO;3ª RODADA;CATAR;MADIBO;VOL;23;TITULAR
FASE DE GRUPO;3ª RODADA;CATAR;MASHAAL;VOL;26;RESERVA
FASE DE GRUPO;3ª RODADA;CATAR;ALI ASAD;MEC;8;RESERVA
FASE DE GRUPO;3ª RODADA;CATAR;ISMAEEL MOHAMMED;MEC;17;TITULAR
FASE DE GRUPO;3ª RODADA;CATAR;AL-HADHRAMI;MEC;24;RESERVA
FASE DE GRUPO;3ª RODADA;CATAR;AHMED ALAAELDIN;ATA;7;RESERVA
FASE DE GRUPO;3ª RODADA;CATAR;MUNEER MAZEED;ATA;18;RESERVA
FASE DE GRUPO;3ª RODADA;HOLANDA;NOPPERT;GOL;23;TITULAR
FASE DE GRUPO;3ª RODADA;HOLANDA;DE LIGT;ZAD;3;RESERVA
FASE DE GRUPO;3ª RODADA;HOLANDA;VAN DIJK;ZAG;4;TITULAR
FASE DE GRUPO;3ª RODADA;HOLANDA;AKÉ;ZAE;5;TITULAR
FASE DE GRUPO;3ª RODADA;HOLANDA;DUMFRIES;LAD;22;TITULAR
FASE DE GRUPO;3ª RODADA;HOLANDA;BERGHUIS;VOL;11;RESERVA
FASE DE GRUPO;3ª RODADA;HOLANDA;KOOPMEINERS;VOL;20;RESERVA
FASE DE GRUPO;3ª RODADA;HOLANDA;FRENKIE DE JONG;VOL;21;TITULAR
FASE DE GRUPO;3ª RODADA;HOLANDA;GAKPO;MEC;8;TITULAR
FASE DE GRUPO;3ª RODADA;HOLANDA;DE ROON;VOL;15;TITULAR
FASE DE GRUPO;3ª RODADA;HOLANDA;BLIND;LAE;17;TITULAR
FASE DE GRUPO;3ª RODADA;HOLANDA;JANSSEN;ATA;18;RESERVA
FASE DE GRUPO;3ª RODADA;HOLANDA;MEMPHIS DEPAY;ATA;10;TITULAR
FASE DE GRUPO;3ª RODADA;HOLANDA;BERGWIJN;ATA;7;RESERVA
FASE DE GRUPO;3ª RODADA;HOLANDA;KLAASSEN;MEC;14;TITULAR
FASE DE GRUPO;3ª RODADA;HOLANDA;PASVEER;GOL;1;RESERVA
FASE DE GRUPO;3ª RODADA;HOLANDA;BIJLOW;GOL;13;RESERVA
FASE DE GRUPO;3ª RODADA;HOLANDA;FRIMPONG;LAD;26;RESERVA
FASE DE GRUPO;3ª RODADA;HOLANDA;TIMBER;ZAD;2;TITULAR
FASE DE GRUPO;3ª RODADA;HOLANDA;DE VRIJ;ZAD;6;RESERVA
FASE DE GRUPO;3ª RODADA;HOLANDA;MALACIA;LAE;16;RESERVA
FASE DE GRUPO;3ª RODADA;HOLANDA;TAYLOR;VOL;24;RESERVA
FASE DE GRUPO;3ª RODADA;HOLANDA;SIMONS;MEC;25;RESERVA
FASE DE GRUPO;3ª RODADA;HOLANDA;LUUK DE JONG;ATA;9;RESERVA
FASE DE GRUPO;3ª RODADA;HOLANDA;LANG;ATA;12;RESERVA
FASE DE GRUPO;3ª RODADA;HOLANDA;WEGHORST;ATA;19;RESERVA
FASE DE GRUPO;3ª RODADA;EQUADOR;GALÍNDEZ;GOL;1;TITULAR
FASE DE GRUPO;3ª RODADA;EQUADOR;ÁNGELO PRECIADO;LAD;17;TITULAR
FASE DE GRUPO;3ª RODADA;EQUADOR;FÉLIX TORRES;ZAD;2;TITULAR
FASE DE GRUPO;3ª RODADA;EQUADOR;HINCAPIÉ;ZAE;3;TITULAR
FASE DE GRUPO;3ª RODADA;EQUADOR;ESTUPIÑÁN;LAE;7;TITULAR
FASE DE GRUPO;3ª RODADA;EQUADOR;JHEGSON MÉNDEZ;VOL;20;RESERVA
FASE DE GRUPO;3ª RODADA;EQUADOR;MOISÉS CAICEDO;VOL;23;TITULAR
FASE DE GRUPO;3ª RODADA;EQUADOR;ALAN FRANCO;VOL;21;TITULAR
FASE DE GRUPO;3ª RODADA;EQUADOR;PLATA;MEC;19;TITULAR
FASE DE GRUPO;3ª RODADA;EQUADOR;ROMARIO IBARRA;MEC;10;RESERVA
FASE DE GRUPO;3ª RODADA;EQUADOR;SARMIENTO;MEC;16;RESERVA
FASE DE GRUPO;3ª RODADA;EQUADOR;ESTRADA;ATA;11;TITULAR
FASE DE GRUPO;3ª RODADA;EQUADOR;KEVIN RODRÍGUEZ;ATA;26;RESERVA
FASE DE GRUPO;3ª RODADA;EQUADOR;ENNER VALENCIA;ATA;13;TITULAR
FASE DE GRUPO;3ª RODADA;EQUADOR;CIFUENTES;VOL;5;RESERVA
FASE DE GRUPO;3ª RODADA;EQUADOR;MOISÉS RAMÍREZ;GOL;12;RESERVA
FASE DE GRUPO;3ª RODADA;EQUADOR;DOMÍNGUEZ;GOL;22;RESERVA
FASE DE GRUPO;3ª RODADA;EQUADOR;ARBOLEDA;ZAD;4;RESERVA
FASE DE GRUPO;3ª RODADA;EQUADOR;ARREAGA;ZAD;14;RESERVA
FASE DE GRUPO;3ª RODADA;EQUADOR;POROZO;ZAD;25;RESERVA
FASE DE GRUPO;3ª RODADA;EQUADOR;PACHO;ZAE;6;RESERVA
FASE DE GRUPO;3ª RODADA;EQUADOR;PALACIOS;LAE;18;RESERVA
FASE DE GRUPO;3ª RODADA;EQUADOR;GRUEZO;VOL;8;TITULAR
FASE DE GRUPO;3ª RODADA;EQUADOR;MENA;MEC;15;RESERVA
FASE DE GRUPO;3ª RODADA;EQUADOR;AYRTON PRECIADO;ATA;9;RESERVA
FASE DE GRUPO;3ª RODADA;EQUADOR;REASCO;ATA;24;RESERVA
FASE DE GRUPO;3ª RODADA;SENEGAL;ÉDOUARD MENDY;GOL;16;TITULAR
FASE DE GRUPO;3ª RODADA;SENEGAL;SABALY;LAD;21;TITULAR
FASE DE GRUPO;3ª RODADA;SENEGAL;KOULIBALY;ZAD;3;TITULAR
FASE DE GRUPO;3ª RODADA;SENEGAL;CISSÉ;ZAE;4;RESERVA
FASE DE GRUPO;3ª RODADA;SENEGAL;ABDOU DIALLO;LAE;22;TITULAR
FASE DE GRUPO;3ª RODADA;SENEGAL;JAKOBS;LAE;14;TITULAR
FASE DE GRUPO;3ª RODADA;SENEGAL;KOUYATÉ;VOL;8;RESERVA
FASE DE GRUPO;3ª RODADA;SENEGAL;PAPE GUEYE;VOL;26;TITULAR
FASE DE GRUPO;3ª RODADA;SENEGAL;GANA GUEYE;VOL;5;TITULAR
FASE DE GRUPO;3ª RODADA;SENEGAL;NAMPALYS MENDY;VOL;6;RESERVA
FASE DE GRUPO;3ª RODADA;SENEGAL;DIATTA;ATA;15;RESERVA
