NOMFASE;NUMRODADA;NOMSELECAO;NOMJOGADORSUBSTITUIDO;NOMJOGADORSUBSTITUTO;DTHSUBSTITUICAO;INDTEMPOJOGO;INDLESAO
FASE DE GRUPO;1ª RODADA;POLÔNIA;ZIELINSKI;MILIK;2022-11-22 14:41:00;2;NÃO
FASE DE GRUPO;1ª RODADA;FRANÇA;LUCAS HERNÁNDEZ;THEO HERNÁNDEZ;2022-11-22 16:12:00;1;SIM
FASE DE GRUPO;1ª RODADA;AUSTRÁLIA;DUKE;CUMMINGS;2022-11-22 17:10:00;2;NÃO
FASE DE GRUPO;1ª RODADA;AUSTRÁLIA;MCGREE;MABIL;2022-11-22 17:27:00;2;NÃO
FASE DE GRUPO;1ª RODADA;AUSTRÁLIA;GOODWIN;KUOL;2022-11-22 17:28:00;2;NÃO
FASE DE GRUPO;1ª RODADA;FRANÇA;TCHOUAMÉNI;FOFANA;2022-11-22 17:30:00;2;NÃO
FASE DE GRUPO;1ª RODADA;FRANÇA;DEMBÉLÉ;COMAN;2022-11-22 17:31:00;2;NÃO
FASE DE GRUPO;1ª RODADA;AUSTRÁLIA;ATKINSON;DEGENEK;2022-11-22 17:39:00;2;NÃO
FASE DE GRUPO;1ª RODADA;AUSTRÁLIA;IRVINE;BACCUS;2022-11-22 17:39:00;2;NÃO
FASE DE GRUPO;1ª RODADA;FRANÇA;PAVARD;KOUNDÉ;2022-11-22 17:43:00;2;NÃO
FASE DE GRUPO;1ª RODADA;FRANÇA;GIROUD;THURAM;2022-11-22 17:43:00;2;NÃO
FASE DE GRUPO;1ª RODADA;CROÁCIA;VLASIC;PASALIC;2022-11-23 08:01:00;2;NÃO
FASE DE GRUPO;1ª RODADA;MORROCOS;MAZRAOUI;ATTIAT-ALLAH;2022-11-23 08:14:00;2;NÃO
FASE DE GRUPO;1ª RODADA;MORROCOS;BOUFAL;EZ ABDE;2022-11-23 08:19:00;2;NÃO
FASE DE GRUPO;1ª RODADA;CROÁCIA;KRAMARIC;LIVAJA;2022-11-23 08:24:00;2;NÃO
FASE DE GRUPO;1ª RODADA;CROÁCIA;KOVACIC;MAJER;2022-11-23 08:33:00;2;NÃO
FASE DE GRUPO;1ª RODADA;MORROCOS;EN-NESYRI;HAMDALLAH;2022-11-23 08:35:00;2;NÃO
FASE DE GRUPO;1ª RODADA;MORROCOS;OUNAHI;SABIRI;2022-11-23 08:35:00;2;NÃO
FASE DE GRUPO;1ª RODADA;CROÁCIA;PERISIC;ORSIC;2022-11-23 08:44:00;2;NÃO
FASE DE GRUPO;1ª RODADA;JAPÃO;KUBO;TOMIYASU;2022-11-23 11:00:00;2;NÃO
FASE DE GRUPO;1ª RODADA;JAPÃO;MAEDA;ASANO;2022-11-23 11:11:00;2;NÃO
FASE DE GRUPO;1ª RODADA;JAPÃO;NAGATOMO;MITOMA;2022-11-23 11:11:00;2;NÃO
FASE DE GRUPO;1ª RODADA;ALEMANHA;GÜNDOGAN;GORETZKA;2022-11-23 11:21:00;2;NÃO
FASE DE GRUPO;1ª RODADA;ALEMANHA;THOMAS MÜLLER;HOFMANN;2022-11-23 11:21:00;2;NÃO
FASE DE GRUPO;1ª RODADA;JAPÃO;TANAKA;DOAN;2022-11-23 11:25:00;2;NÃO
FASE DE GRUPO;1ª RODADA;JAPÃO;SAKAI;MINAMINO;2022-11-23 11:28:00;2;NÃO
FASE DE GRUPO;1ª RODADA;ALEMANHA;HAVERTZ;FÜLLKRUG;2022-11-23 11:32:00;2;NÃO
FASE DE GRUPO;1ª RODADA;ALEMANHA;MUSIALA;GÖTZE;2022-11-23 11:33:00;2;NÃO
FASE DE GRUPO;1ª RODADA;ALEMANHA;GNABRY;MOUKOKO;2022-11-23 11:44:00;2;NÃO
FASE DE GRUPO;1ª RODADA;COSTA RICA;CARLOS MARTÍNEZ;WASTON;2022-11-23 14:00:00;2;NÃO
FASE DE GRUPO;1ª RODADA;ESPANHA;PEDRI;SOLER;2022-11-23 14:12:00;2;NÃO
FASE DE GRUPO;1ª RODADA;ESPANHA;FERRÁN TORRES;MORATA;2022-11-23 14:12:00;2;NÃO
FASE DE GRUPO;1ª RODADA;COSTA RICA;BENNETTE;BRYAN RUÍZ;2022-11-23 14:15:00;2;NÃO
FASE DE GRUPO;1ª RODADA;COSTA RICA;CONTRERAS;ZAMORA;2022-11-23 14:16:00;2;NÃO
FASE DE GRUPO;1ª RODADA;ESPANHA;BUSQUETS;KOKE;2022-11-23 14:18:00;2;NÃO
FASE DE GRUPO;1ª RODADA;ESPANHA;ALBA;ÁLEX BALDE;2022-11-23 14:18:00;2;NÃO
FASE DE GRUPO;1ª RODADA;ESPANHA;ASENSIO;NICO WILLIAMS;2022-11-23 14:23:00;2;NÃO
FASE DE GRUPO;1ª RODADA;COSTA RICA;CELSO BORGES;AGUILERA;2022-11-23 14:26:00;2;NÃO
FASE DE GRUPO;1ª RODADA;COSTA RICA;OVIEDO;MATARRITA;2022-11-23 14:36:00;2;NÃO
FASE DE GRUPO;1ª RODADA;BÉLGICA;CARRASCO;MEUNIER;2022-11-23 16:00:00;1;NÃO
FASE DE GRUPO;1ª RODADA;BÉLGICA;TIELEMANS;ONANA;2022-11-23 17:00:00;2;NÃO
FASE DE GRUPO;1ª RODADA;CANADA;HUTCHINSON;KONÉ;2022-11-23 17:12:00;2;NÃO
FASE DE GRUPO;1ª RODADA;CANADA;HOILETT;LARIN;2022-11-23 17:12:00;2;NÃO
FASE DE GRUPO;1ª RODADA;BÉLGICA;EDEN HAZARD;TROSSARD;2022-11-23 17:16:00;2;NÃO
FASE DE GRUPO;1ª RODADA;CANADA;LARYEA;ADEKUGBE;2022-11-23 17:28:00;2;NÃO
FASE DE GRUPO;1ª RODADA;BÉLGICA;BATSHUAYI;OPENDA;2022-11-23 17:32:00;2;NÃO
FASE DE GRUPO;1ª RODADA;CANADA;EUSTÁQUIO;OSORIO;2022-11-23 17:35:00;2;NÃO
FASE DE GRUPO;1ª RODADA;CANADA;BUCHANAN;MILLAR;2022-11-23 17:36:00;2;NÃO
FASE DE GRUPO;1ª RODADA;CAMARÕES;HONGLA;ONDOUA;2022-11-24 08:22:00;2;NÃO
FASE DE GRUPO;1ª RODADA;SUIÇA;SHAQIRI;OKAFOR;2022-11-24 08:25:00;2;NÃO
FASE DE GRUPO;1ª RODADA;SUIÇA;SOW;FREI;2022-11-24 08:25:00;2;NÃO
FASE DE GRUPO;1ª RODADA;SUIÇA;EMBOLO;SEFEROVIC;2022-11-24 08:26:00;2;NÃO
FASE DE GRUPO;1ª RODADA;CAMARÕES;TOKO EKAMBI;N´KOUDOU;2022-11-24 08:28:00;2;NÃO
FASE DE GRUPO;1ª RODADA;CAMARÕES;CHOUPO-MOTING;ABOUBAKAR;2022-11-24 08:28:00;2;NÃO
FASE DE GRUPO;1ª RODADA;SUIÇA;VARGAS;RIEDER;2022-11-24 08:33:00;2;NÃO
FASE DE GRUPO;1ª RODADA;CAMARÕES;MBEUMO;NGAMALEU;2022-11-24 08:35:00;2;NÃO
FASE DE GRUPO;1ª RODADA;SUIÇA;RICARDO RODRÍGUEZ;CÖMERT;2022-11-24 08:45:00;2;NÃO
FASE DE GRUPO;1ª RODADA;URUGUAI;VECINO;SEBASTIÁN SOSA;2022-11-24 11:00:00;2;NÃO
FASE DE GRUPO;1ª RODADA;URUGUAI;MATHÍAS OLIVERA;VIÑA;2022-11-24 11:00:00;2;NÃO
FASE DE GRUPO;1ª RODADA;URUGUAI;PELLISTRI;VARELA;2022-11-24 11:00:00;2;NÃO
FASE DE GRUPO;1ª RODADA;URUGUAI;LUIS SUÁREZ;CAVANI;2022-11-24 11:00:00;2;NÃO
FASE DE GRUPO;1ª RODADA;COREIA DO SUL;LEE JAE-SUNG;SON JUN-HO;2022-11-24 11:00:00;2;NÃO
FASE DE GRUPO;1ª RODADA;COREIA DO SUL;HWANG UI-JO;CHO GUE-SUNG;2022-11-24 11:00:00;2;NÃO
FASE DE GRUPO;1ª RODADA;COREIA DO SUL;NA SANG-HO;LEE KANG-IN;2022-11-24 11:00:00;2;NÃO
FASE DE GRUPO;1ª RODADA;PORTUGAL;OTÁVIO;WILLIAM CARVALHO;2022-11-24 14:10:00;2;NÃO
FASE DE GRUPO;1ª RODADA;GANA;SEIDU;LAMPTEY;2022-11-24 14:21:00;2;NÃO
FASE DE GRUPO;1ª RODADA;GANA;ANDRÉ AYEW;BUKARI;2022-11-24 14:31:00;2;NÃO
FASE DE GRUPO;1ª RODADA;GANA;KUDUS;JORDAN AYEW;2022-11-24 14:31:00;2;NÃO
FASE DE GRUPO;1ª RODADA;PORTUGAL;RÚBEN NEVES;RAFAEL LEÃO;2022-11-24 14:31:00;2;NÃO
FASE DE GRUPO;1ª RODADA;PORTUGAL;BERNARDO SILVA;JOÃO PALHINHA;2022-11-24 14:41:00;2;NÃO
FASE DE GRUPO;1ª RODADA;PORTUGAL;CRISTIANO RONALDO;JOÃO MÁRIO;2022-11-24 14:42:00;2;NÃO
FASE DE GRUPO;1ª RODADA;PORTUGAL;JOÃO FÉLIX;GONÇALO RAMOS;2022-11-24 14:42:00;2;NÃO
FASE DE GRUPO;1ª RODADA;GANA;DJIKU;SEMENYO;2022-11-24 14:47:00;2;NÃO
FASE DE GRUPO;1ª RODADA;GANA;ABDUL SAMED;KYEREH;2022-11-24 14:47:00;2;NÃO
FASE DE GRUPO;1ª RODADA;BRASIL;LUCAS PAQUETÁ;FRED;2022-11-24 16:00:00;1;NÃO
FASE DE GRUPO;1ª RODADA;BRASIL;NEYMAR;ANTONY;2022-11-24 16:00:00;1;NÃO
FASE DE GRUPO;1ª RODADA;BRASIL;RAPHINHA;GABRIEL MARTINELLI;2022-11-24 16:00:00;1;NÃO
FASE DE GRUPO;1ª RODADA;BRASIL;RICHARLISON;GABRIEL JESUS;2022-11-24 16:00:00;1;NÃO
FASE DE GRUPO;1ª RODADA;BRASIL;VINI JR.;RODRYGO;2022-11-24 16:00:00;1;NÃO
FASE DE GRUPO;1ª RODADA;SÉRVIA;GUDELJ;ILIC;2022-11-24 16:00:00;1;NÃO
FASE DE GRUPO;1ª RODADA;SÉRVIA;LUKIC;LAZOVIC;2022-11-24 16:00:00;1;NÃO
FASE DE GRUPO;1ª RODADA;SÉRVIA;ZIVKOVIC;RADONJIC;2022-11-24 16:00:00;1;NÃO
FASE DE GRUPO;1ª RODADA;SÉRVIA;MLADENOVIC;VLAHOVIC;2022-11-24 16:00:00;1;NÃO
FASE DE GRUPO;1ª RODADA;SÉRVIA;ALEKSANDAR MITROVIC;MAKSIMOVIC;2022-11-24 16:00:00;1;NÃO
FASE DE GRUPO;2ª RODADA;PAÍS DE GALES;CONNOR ROBERTS;BRENNAN JOHNSON;2022-11-25 08:11:00;2;NÃO
FASE DE GRUPO;2ª RODADA;PAÍS DE GALES;HARRY WILSON;DANIEL JAMES;2022-11-25 08:11:00;2;NÃO
FASE DE GRUPO;2ª RODADA;IRÃ;AZMOUN;ANSARIFARD;2022-11-25 08:22:00;2;NÃO
FASE DE GRUPO;2ª RODADA;IRÃ;HAJSAFI;TORABI;2022-11-25 08:31:00;2;NÃO
FASE DE GRUPO;2ª RODADA;IRÃ;GHOLIZADEH;JAHANBAKHSH;2022-11-25 08:32:00;2;NÃO
FASE DE GRUPO;2ª RODADA;PAÍS DE GALES;AMPADU;ALLEN;2022-11-25 08:32:00;2;NÃO
FASE DE GRUPO;2ª RODADA;IRÃ;NOUROLLAHI;CHESHMI;2022-11-25 08:33:00;2;NÃO
FASE DE GRUPO;2ª RODADA;IRÃ;EZATOLAHI;KARIMI;2022-11-25 08:37:00;2;NÃO
FASE DE GRUPO;2ª RODADA;PAÍS DE GALES;RAMSEY;WARD;2022-11-25 08:41:00;2;NÃO
FASE DE GRUPO;2ª RODADA;SENEGAL;DIATTA;CISS;2022-11-25 11:18:00;2;NÃO
FASE DE GRUPO;2ª RODADA;CATAR;BOUDIAF;HATIM;2022-11-25 11:23:00;2;NÃO
FASE DE GRUPO;2ª RODADA;CATAR;AL-HAYDOS;MUNTARI;2022-11-25 11:27:00;2;NÃO
FASE DE GRUPO;2ª RODADA;SENEGAL;DIÉDHIOU;ILIMAN NDIAYE;2022-11-25 11:28:00;2;NÃO
FASE DE GRUPO;2ª RODADA;SENEGAL;ISMAILA SARR;BAMBA DIENG;2022-11-25 11:30:00;2;NÃO
FASE DE GRUPO;2ª RODADA;SENEGAL;NAMPALYS MENDY;PAPE SARR;2022-11-25 11:31:00;2;NÃO
FASE DE GRUPO;2ª RODADA;SENEGAL;JAKOBS;CISSÉ;2022-11-25 11:31:00;2;NÃO
FASE DE GRUPO;2ª RODADA;CATAR;PEDRO MIGUEL;MOHAMMED WAAD;2022-11-25 11:36:00;2;NÃO
FASE DE GRUPO;2ª RODADA;CATAR;HOMAM AHMED;SALMAN;2022-11-25 11:36:00;2;NÃO
FASE DE GRUPO;2ª RODADA;HOLANDA;BERGHUIS;MEMPHIS DEPAY;2022-11-25 14:00:00;2;NÃO
FASE DE GRUPO;2ª RODADA;HOLANDA;KLAASSEN;BERGHUIS;2022-11-25 14:23:00;2;NÃO
FASE DE GRUPO;2ª RODADA;EQUADOR;ESTRADA;SARMIENTO;2022-11-25 14:28:00;2;NÃO
FASE DE GRUPO;2ª RODADA;HOLANDA;KOOPMEINERS;DE ROON;2022-11-25 14:33:00;2;NÃO
FASE DE GRUPO;2ª RODADA;HOLANDA;GAKPO;WEGHORST;2022-11-25 14:33:00;2;NÃO
FASE DE GRUPO;2ª RODADA;EQUADOR;ENNER VALENCIA;KEVIN RODRÍGUEZ;2022-11-25 14:44:00;2;NÃO
FASE DE GRUPO;2ª RODADA;EQUADOR;PLATA;ROMARIO IBARRA;2022-11-25 14:45:00;2;NÃO
FASE DE GRUPO;2ª RODADA;INGLATERRA;BELLINGHAM;HENDERSON;2022-11-25 17:23:00;2;NÃO
FASE DE GRUPO;2ª RODADA;INGLATERRA;STERLING;GREALISH;2022-11-25 17:23:00;2;NÃO
FASE DE GRUPO;2ª RODADA;EUA;DEST;MOORE;2022-11-25 17:32:00;2;NÃO
FASE DE GRUPO;2ª RODADA;EUA;MCKENNIE;AARONSON;2022-11-25 17:32:00;2;NÃO
FASE DE GRUPO;2ª RODADA;INGLATERRA;SAKA;RASHFORD;2022-11-25 17:33:00;2;NÃO
FASE DE GRUPO;2ª RODADA;EUA;WEAH;REYNA;2022-11-25 17:37:00;2;NÃO
FASE DE GRUPO;2ª RODADA;EUA;WRIGHT;SARGENT;2022-11-25 17:37:00;2;NÃO
FASE DE GRUPO;2ª RODADA;TUNÍSIA;DRÄGER;SASSI;2022-11-26 08:09:00;2;NÃO
FASE DE GRUPO;2ª RODADA;AUSTRÁLIA;DUKE;MACLAREN;2022-11-26 08:18:00;2;NÃO
FASE DE GRUPO;2ª RODADA;AUSTRÁLIA;MCGREE;HRUSTIC;2022-11-26 08:18:00;2;NÃO
FASE DE GRUPO;2ª RODADA;TUNÍSIA;LAÏDOUNI;KHAZRI;2022-11-26 08:21:00;2;NÃO
FASE DE GRUPO;2ª RODADA;TUNÍSIA;JEBALI;KHENISSI;2022-11-26 08:27:00;2;NÃO
FASE DE GRUPO;2ª RODADA;TUNÍSIA;BRONN;KECHRIDA;2022-11-26 08:27:00;2;NÃO
FASE DE GRUPO;2ª RODADA;AUSTRÁLIA;KARACIC;DEGENEK;2022-11-26 08:29:00;2;NÃO
FASE DE GRUPO;2ª RODADA;AUSTRÁLIA;LECKIE;BACCUS;2022-11-26 08:39:00;2;NÃO
FASE DE GRUPO;2ª RODADA;AUSTRÁLIA;GOODWIN;MABIL;2022-11-26 08:39:00;2;NÃO
FASE DE GRUPO;2ª RODADA;ARÁBIA SAUDITA;AL-NAJI;AL-ABID;2022-11-26 11:00:00;2;NÃO
FASE DE GRUPO;2ª RODADA;POLÔNIA;ZIELINSKI;KAMINSKI;2022-11-26 11:16:00;2;NÃO
FASE DE GRUPO;2ª RODADA;POLÔNIA;MILIK;PIATEK;2022-11-26 11:25:00;2;NÃO
FASE DE GRUPO;2ª RODADA;ARÁBIA SAUDITA;AL-MALKI;AL-OBUD;2022-11-26 11:30:00;2;NÃO
FASE DE GRUPO;2ª RODADA;ARÁBIA SAUDITA;AL-SHEHRI;NASSER AL-DAWSARI;2022-11-26 11:39:00;2;NÃO
FASE DE GRUPO;2ª RODADA;ARÁBIA SAUDITA;AL-ABID;BAHBRI;2022-11-26 11:49:00;2;NÃO
FASE DE GRUPO;2ª RODADA;DINAMARCA;CORNELIUS;BRAITHWAITE;2022-11-26 14:00:00;2;NÃO
FASE DE GRUPO;2ª RODADA;FRANÇA;GIROUD;THURAM;2022-11-26 14:16:00;2;NÃO
FASE DE GRUPO;2ª RODADA;DINAMARCA;DAMSGAARD;DOLBERG;2022-11-26 14:28:00;2;NÃO
FASE DE GRUPO;2ª RODADA;FRANÇA;VARANE;KONATÉ;2022-11-26 14:29:00;2;NÃO
FASE DE GRUPO;2ª RODADA;FRANÇA;DEMBÉLÉ;COMAN;2022-11-26 14:29:00;2;NÃO
FASE DE GRUPO;2ª RODADA;DINAMARCA;LINDSTRÖM;NÖRGAARD;2022-11-26 14:39:00;2;NÃO
FASE DE GRUPO;2ª RODADA;DINAMARCA;KRISTENSEN;BAH;2022-11-26 14:46:00;2;NÃO
FASE DE GRUPO;2ª RODADA;FRANÇA;GRIEZMANN;FOFANA;2022-11-26 14:47:00;2;NÃO
FASE DE GRUPO;2ª RODADA;MÉXICO;GUARDADO;ÉRICK GUTIÉRREZ;2022-11-26 16:40:00;1;NÃO
FASE DE GRUPO;2ª RODADA;ARGENTINA;GUIDO RODRÍGUEZ;ENZO FERNÁNDEZ;2022-11-26 17:11:00;2;NÃO
FASE DE GRUPO;2ª RODADA;ARGENTINA;LAUTARO MARTÍNEZ;JULIÁN ÁLVAREZ;2022-11-26 17:17:00;2;NÃO
FASE DE GRUPO;2ª RODADA;ARGENTINA;MONTIEL;MOLINA;2022-11-26 17:17:00;2;NÃO
FASE DE GRUPO;2ª RODADA;MÉXICO;VEGA;ANTUNA;2022-11-26 17:20:00;2;NÃO
FASE DE GRUPO;2ª RODADA;MÉXICO;KEVIN ÁLVAREZ;RAÚL JIMÉNEZ;2022-11-26 17:22:00;2;NÃO
FASE DE GRUPO;2ª RODADA;ARGENTINA;DI MARÍA;CRISTIAN ROMERO;2022-11-26 17:23:00;2;NÃO
FASE DE GRUPO;2ª RODADA;ARGENTINA;MAC ALLISTER;PALACIOS;2022-11-26 17:23:00;2;NÃO
FASE DE GRUPO;2ª RODADA;MÉXICO;LOZANO;ALVARADO;2022-11-26 17:27:00;2;NÃO
FASE DE GRUPO;2ª RODADA;JAPÃO;UEDA;ASANO;2022-11-27 08:00:00;2;NÃO
FASE DE GRUPO;2ª RODADA;JAPÃO;NAGATOMO;HIROKI ITO;2022-11-27 08:01:00;2;NÃO
FASE DE GRUPO;2ª RODADA;JAPÃO;YAMANE;MITOMA;2022-11-27 08:16:00;2;NÃO
FASE DE GRUPO;2ª RODADA;COSTA RICA;GERSON TORRES;AGUILERA;2022-11-27 08:18:00;2;NÃO
FASE DE GRUPO;2ª RODADA;COSTA RICA;CONTRERAS;BENNETTE;2022-11-27 08:19:00;2;NÃO
FASE DE GRUPO;2ª RODADA;JAPÃO;DOAN;JUNYA ITO;2022-11-27 08:21:00;2;NÃO
FASE DE GRUPO;2ª RODADA;JAPÃO;SOMA;MINAMINO;2022-11-27 08:37:00;2;NÃO
FASE DE GRUPO;2ª RODADA;COSTA RICA;CELSO BORGES;SALAS;2022-11-27 08:43:00;2;NÃO
FASE DE GRUPO;2ª RODADA;COSTA RICA;CAMPBELL;CHACÓN;2022-11-27 08:49:00;2;NÃO
FASE DE GRUPO;2ª RODADA;BÉLGICA;EDEN HAZARD;MERTENS;2022-11-27 12:14:00;2;NÃO
FASE DE GRUPO;2ª RODADA;BÉLGICA;ONANA;TIELEMANS;2022-11-27 12:15:00;2;NÃO
FASE DE GRUPO;2ª RODADA;MORROCOS;HAKIMI;ATTIAT-ALLAH;2022-11-27 12:22:00;2;NÃO
FASE DE GRUPO;2ª RODADA;MORROCOS;AMALLAH;SABIRI;2022-11-27 12:23:00;2;NÃO
FASE DE GRUPO;2ª RODADA;MORROCOS;BOUFAL;ABOUKHLAL;2022-11-27 12:27:00;2;NÃO
FASE DE GRUPO;2ª RODADA;MORROCOS;EN-NESYRI;HAMDALLAH;2022-11-27 12:27:00;2;NÃO
