NOMFASE;NUMRODADA;NOMSELECAO;NOMJOGADOR;NOMPOSICAO;NUMCAMISA;DTHJOGO;DTHGOL;INDTEMPOJOGO;TPOFORMAGOL;NUMGOL;INDPENALTICONVERTIDO
FASE DE GRUPO;1ª RODADA;ESPANHA;FERRÁN TORRES;ATA;11;2022-11-23 13:00:00;2022-11-23 14:08:00;SEGUNDO TEMPO;CHUTE NA ÁREA;1; 
FASE DE GRUPO;1ª RODADA;ESPANHA;GAVI;MEC;9;2022-11-23 13:00:00;2022-11-23 14:29:00;SEGUNDO TEMPO;CHUTE NA ÁREA;1; 
FASE DE GRUPO;1ª RODADA;ESPANHA;SOLER;VOL;19;2022-11-23 13:00:00;2022-11-23 14:44:00;SEGUNDO TEMPO;REBOTE;1; 
FASE DE GRUPO;1ª RODADA;ESPANHA;MORATA;ATA;7;2022-11-23 13:00:00;2022-11-23 14:47:00;SEGUNDO TEMPO;CHUTE NA ÁREA;1; 
FASE DE GRUPO;1ª RODADA;CANADA;DAVIES;LAE;19;2022-11-23 16:00:00;2022-11-23 16:10:00;PRIMEIRO TEMPO;PÊNALTI;0;N
FASE DE GRUPO;1ª RODADA;BÉLGICA;BATSHUAYI;ATA;23;2022-11-23 16:00:00;2022-11-23 16:43:00;PRIMEIRO TEMPO;CHUTE NA ÁREA;1; 
FASE DE GRUPO;1ª RODADA;SUIÇA;EMBOLO;ATA;7;2022-11-24 07:00:00;2022-11-24 08:02:00;SEGUNDO TEMPO;CHUTE NA ÁREA;1; 
FASE DE GRUPO;1ª RODADA;PORTUGAL;CRISTIANO RONALDO;ATA;7;2022-11-24 13:00:00;2022-11-24 14:19:00;SEGUNDO TEMPO;PÊNALTI;1;S
FASE DE GRUPO;1ª RODADA;GANA;ANDRÉ AYEW;MEC;10;2022-11-24 13:00:00;2022-11-24 14:27:00;SEGUNDO TEMPO;CHUTE NA ÁREA;1; 
FASE DE GRUPO;1ª RODADA;PORTUGAL;JOÃO FÉLIX;ATA;11;2022-11-24 13:00:00;2022-11-24 14:32:00;SEGUNDO TEMPO;CHUTE NA ÁREA;1; 
FASE DE GRUPO;1ª RODADA;PORTUGAL;RAFAEL LEÃO;ATA;15;2022-11-24 13:00:00;2022-11-24 14:34:00;SEGUNDO TEMPO;CHUTE NA ÁREA;1; 
FASE DE GRUPO;1ª RODADA;GANA;BUKARI;ATA;11;2022-11-24 13:00:00;2022-11-24 14:43:00;SEGUNDO TEMPO;CABEÇA;1; 
FASE DE GRUPO;1ª RODADA;BRASIL;RICHARLISON;ATA;9;2022-11-24 16:00:00;2022-11-24 17:16:00;SEGUNDO TEMPO;CHUTE NA ÁREA;1; 
FASE DE GRUPO;1ª RODADA;BRASIL;RICHARLISON;ATA;9;2022-11-24 16:00:00;2022-11-24 17:27:00;SEGUNDO TEMPO;CHUTE NA ÁREA;1; 
FASE DE GRUPO;2ª RODADA;IRÃ;CHESHMI;ZAD;15;2022-11-25 07:00:00;2022-11-25 08:52:00;SEGUNDO TEMPO;CHUTE NA ÁREA;1; 
FASE DE GRUPO;2ª RODADA;IRÃ;REZAEIAN;LAD;23;2022-11-25 07:00:00;2022-11-25 08:55:00;SEGUNDO TEMPO;CHUTE NA ÁREA;1; 
FASE DE GRUPO;2ª RODADA;SENEGAL;BOULAYE DIA;ATA;9;2022-11-25 10:00:00;2022-11-25 10:39:00;PRIMEIRO TEMPO;CHUTE NA ÁREA;1; 
FASE DE GRUPO;2ª RODADA;SENEGAL;DIÉDHIOU;ATA;19;2022-11-25 10:00:00;2022-11-25 11:02:00;SEGUNDO TEMPO;CABEÇA;1; 
FASE DE GRUPO;2ª RODADA;CATAR;MUNTARI;ATA;9;2022-11-25 10:00:00;2022-11-25 11:32:00;SEGUNDO TEMPO;CABEÇA;1; 
FASE DE GRUPO;2ª RODADA;SENEGAL;BAMBA DIENG;ATA;20;2022-11-25 10:00:00;2022-11-25 11:37:00;SEGUNDO TEMPO;CHUTE NA ÁREA;1; 
FASE DE GRUPO;2ª RODADA;HOLANDA;GAKPO;MEC;8;2022-11-25 13:00:00;2022-11-25 13:05:00;PRIMEIRO TEMPO;FORA ÁREA;1; 
FASE DE GRUPO;2ª RODADA;EQUADOR;ENNER VALENCIA;ATA;13;2022-11-25 13:00:00;2022-11-25 14:03:00;SEGUNDO TEMPO;CHUTE NA ÁREA;1; 
FASE DE GRUPO;2ª RODADA;AUSTRÁLIA;DUKE;ATA;15;2022-11-26 07:00:00;2022-11-26 07:22:00;PRIMEIRO TEMPO;CHUTE NA ÁREA;1; 
FASE DE GRUPO;2ª RODADA;POLÔNIA;ZIELINSKI;ATA;20;2022-11-26 10:00:00;2022-11-26 10:38:00;PRIMEIRO TEMPO;CHUTE NA ÁREA;1; 
FASE DE GRUPO;2ª RODADA;ARÁBIA SAUDITA;AL-BRIKAN;ATA;9;2022-11-26 10:00:00;2022-11-26 10:45:00;PRIMEIRO TEMPO;PÊNALTI;0;N
FASE DE GRUPO;2ª RODADA;POLÔNIA;LEWANDOWSKI;ATA;9;2022-11-26 10:00:00;2022-11-26 11:36:00;SEGUNDO TEMPO;CHUTE NA ÁREA;1; 
FASE DE GRUPO;2ª RODADA;FRANÇA;MBAPPÉ;ATA;10;2022-11-26 13:00:00;2022-11-26 14:15:00;SEGUNDO TEMPO;CHUTE NA ÁREA;1; 
FASE DE GRUPO;2ª RODADA;DINAMARCA;ANDREAS CHRISTENSEN;ZAE;6;2022-11-26 13:00:00;2022-11-26 14:22:00;SEGUNDO TEMPO;CABEÇA;1; 
FASE DE GRUPO;2ª RODADA;FRANÇA;MBAPPÉ;ATA;10;2022-11-26 13:00:00;2022-11-26 14:40:00;SEGUNDO TEMPO;CHUTE NA ÁREA;1; 
FASE DE GRUPO;2ª RODADA;ARGENTINA;MESSI;ATA;10;2022-11-26 16:00:00;2022-11-26 17:18:00;SEGUNDO TEMPO;FORA ÁREA;1; 
FASE DE GRUPO;2ª RODADA;ARGENTINA;ENZO FERNÁNDEZ;VOL;24;2022-11-26 16:00:00;2022-11-26 17:41:00;SEGUNDO TEMPO;CHUTE NA ÁREA;1; 
FASE DE GRUPO;2ª RODADA;COSTA RICA;FULLER;ZAD;4;2022-11-27 07:00:00;2022-11-27 08:35:00;SEGUNDO TEMPO;FORA ÁREA;1; 
FASE DE GRUPO;2ª RODADA;MORROCOS;SABIRI;MEC;11;2022-11-27 10:00:00;2022-11-27 11:27:00;SEGUNDO TEMPO;FALTA;1; 
FASE DE GRUPO;2ª RODADA;MORROCOS;ABOUKHLAL;ATA;14;2022-11-27 10:00:00;2022-11-27 11:46:00;SEGUNDO TEMPO;CHUTE NA ÁREA;1; 
FASE DE GRUPO;2ª RODADA;CANADA;DAVIES;LAE;19;2022-11-27 13:00:00;2022-11-27 13:01:00;PRIMEIRO TEMPO;CHUTE NA ÁREA;1; 
FASE DE GRUPO;2ª RODADA;CROÁCIA;KRAMARIC;ATA;9;2022-11-27 13:00:00;2022-11-27 13:35:00;PRIMEIRO TEMPO;CHUTE NA ÁREA;1; 
FASE DE GRUPO;2ª RODADA;CROÁCIA;LIVAJA;ATA;14;2022-11-27 13:00:00;2022-11-27 13:43:00;PRIMEIRO TEMPO;CHUTE NA ÁREA;1; 
FASE DE GRUPO;2ª RODADA;CROÁCIA;KRAMARIC;ATA;9;2022-11-27 13:00:00;2022-11-27 14:24:00;SEGUNDO TEMPO;CHUTE NA ÁREA;1; 
FASE DE GRUPO;2ª RODADA;CROÁCIA;MAJER;MEC;7;2022-11-27 13:00:00;2022-11-27 14:48:00;SEGUNDO TEMPO;CHUTE NA ÁREA;1; 
FASE DE GRUPO;2ª RODADA;ESPANHA;MORATA;ATA;7;2022-11-27 16:00:00;2022-11-27 17:16:00;SEGUNDO TEMPO;CHUTE NA ÁREA;1; 
FASE DE GRUPO;2ª RODADA;ALEMANHA;FÜLLKRUG;ATA;9;2022-11-27 16:00:00;2022-11-27 17:37:00;SEGUNDO TEMPO;CHUTE NA ÁREA;1; 
FASE DE GRUPO;2ª RODADA;CAMARÕES;CASTELLETTO;ZAD;21;2022-11-28 07:00:00;2022-11-28 07:28:00;PRIMEIRO TEMPO;CHUTE NA ÁREA;1; 
FASE DE GRUPO;2ª RODADA;SÉRVIA;PAVLOVIC;ZAE;2;2022-11-28 07:00:00;2022-11-28 07:45:00;PRIMEIRO TEMPO;CHUTE NA ÁREA;1; 
FASE DE GRUPO;2ª RODADA;SÉRVIA;SERGEJ MILINKOVIC-SAVIC;MEC;20;2022-11-28 07:00:00;2022-11-28 07:47:00;PRIMEIRO TEMPO;CHUTE NA ÁREA;1; 
FASE DE GRUPO;2ª RODADA;SÉRVIA;ALEKSANDAR MITROVIC;ATA;9;2022-11-28 07:00:00;2022-11-28 08:07:00;SEGUNDO TEMPO;CHUTE NA ÁREA;1; 
FASE DE GRUPO;2ª RODADA;CAMARÕES;ABOUBAKAR;ATA;10;2022-11-28 07:00:00;2022-11-28 08:18:00;SEGUNDO TEMPO;CHUTE NA ÁREA;1; 
FASE DE GRUPO;2ª RODADA;CAMARÕES;CHOUPO-MOTING;ATA;13;2022-11-28 07:00:00;2022-11-28 08:20:00;SEGUNDO TEMPO;CHUTE NA ÁREA;1; 
FASE DE GRUPO;2ª RODADA;GANA;SALISU;ZAE;4;2022-11-28 10:00:00;2022-11-28 10:23:00;PRIMEIRO TEMPO;CHUTE NA ÁREA;1; 
FASE DE GRUPO;2ª RODADA;GANA;KUDUS;ATA;20;2022-11-28 10:00:00;2022-11-28 10:33:00;PRIMEIRO TEMPO;CABEÇA;1; 
FASE DE GRUPO;2ª RODADA;COREIA DO SUL;CHO GUE-SUNG;ATA;9;2022-11-28 10:00:00;2022-11-28 11:12:00;SEGUNDO TEMPO;CABEÇA;1; 
FASE DE GRUPO;2ª RODADA;COREIA DO SUL;CHO GUE-SUNG;ATA;9;2022-11-28 10:00:00;2022-11-28 11:15:00;SEGUNDO TEMPO;CABEÇA;1; 
FASE DE GRUPO;2ª RODADA;GANA;KUDUS;ATA;20;2022-11-28 10:00:00;2022-11-28 11:22:00;SEGUNDO TEMPO;CHUTE NA ÁREA;1; 
FASE DE GRUPO;2ª RODADA;BRASIL;CASEMIRO;VOL;5;2022-11-28 13:00:00;2022-11-28 14:37:00;SEGUNDO TEMPO;CHUTE NA ÁREA;1; 
FASE DE GRUPO;2ª RODADA;PORTUGAL;BRUNO FERNANDES;MEC;8;2022-11-28 16:00:00;2022-11-28 17:08:00;SEGUNDO TEMPO;FALTA;1; 
FASE DE GRUPO;2ª RODADA;PORTUGAL;CRISTIANO RONALDO;ATA;7;2022-11-28 16:00:00;2022-11-28 17:47:00;SEGUNDO TEMPO;PÊNALTI;1;S
FASE DE GRUPO;3ª RODADA;HOLANDA;GAKPO;MEC;8;2022-11-29 12:00:00;2022-11-29 12:25:00;PRIMEIRO TEMPO;CHUTE NA ÁREA;1; 
FASE DE GRUPO;3ª RODADA;SENEGAL;ISMAILA SARR;ATA;18;2022-11-29 12:00:00;2022-11-29 12:43:00;PRIMEIRO TEMPO;PÊNALTI;1;S
FASE DE GRUPO;3ª RODADA;HOLANDA;FRENKIE DE JONG;VOL;21;2022-11-29 12:00:00;2022-11-29 13:03:00;SEGUNDO TEMPO;CHUTE NA ÁREA;1; 
FASE DE GRUPO;3ª RODADA;EQUADOR;MOISÉS CAICEDO;VOL;23;2022-11-29 12:00:00;2022-11-29 13:21:00;SEGUNDO TEMPO;CHUTE NA ÁREA;1; 
FASE DE GRUPO;3ª RODADA;SENEGAL;KOULIBALY;ZAD;3;2022-11-29 12:00:00;2022-11-29 13:24:00;SEGUNDO TEMPO;CHUTE NA ÁREA;1; 
FASE DE GRUPO;3ª RODADA;EUA;PULISIC;ATA;10;2022-11-29 16:00:00;2022-11-29 16:37:00;PRIMEIRO TEMPO;CABEÇA;1; 
FASE DE GRUPO;3ª RODADA;INGLATERRA;RASHFORD;ATA;11;2022-11-29 16:00:00;2022-11-29 17:04:00;SEGUNDO TEMPO;FALTA;1; 
FASE DE GRUPO;3ª RODADA;INGLATERRA;FODEN;MEC;20;2022-11-29 16:00:00;2022-11-29 17:05:00;SEGUNDO TEMPO;CHUTE NA ÁREA;1; 
FASE DE GRUPO;3ª RODADA;INGLATERRA;RASHFORD;ATA;11;2022-11-29 16:00:00;2022-11-29 17:22:00;SEGUNDO TEMPO;CHUTE NA ÁREA;1; 
FASE DE GRUPO;3ª RODADA;TUNÍSIA;KHAZRI;ATA;10;2022-11-30 12:00:00;2022-11-30 12:12:00;PRIMEIRO TEMPO;CHUTE NA ÁREA;1; 
FASE DE GRUPO;3ª RODADA;AUSTRÁLIA;LECKIE;ATA;7;2022-11-30 12:00:00;2022-11-30 13:15:00;SEGUNDO TEMPO;CHUTE NA ÁREA;1; 
FASE DE GRUPO;3ª RODADA;ARGENTINA;MESSI;ATA;10;2022-11-30 16:00:00;2022-11-30 16:35:00;PRIMEIRO TEMPO;PÊNALTI;0;N
FASE DE GRUPO;3ª RODADA;ARGENTINA;MAC ALLISTER;VOL;20;2022-11-30 16:00:00;2022-11-30 17:00:00;PRIMEIRO TEMPO;CHUTE NA ÁREA;1; 
FASE DE GRUPO;3ª RODADA;MÉXICO;HENRY MARTÍN;ATA;20;2022-11-30 16:00:00;2022-11-30 17:02:00;SEGUNDO TEMPO;CHUTE NA ÁREA;1; 
FASE DE GRUPO;3ª RODADA;MÉXICO;LUIS CHÁVEZ;VOL;24;2022-11-30 16:00:00;2022-11-30 17:06:00;SEGUNDO TEMPO;FALTA;1; 
FASE DE GRUPO;3ª RODADA;ARGENTINA;JULIÁN ÁLVAREZ;ATA;9;2022-11-30 16:00:00;2022-11-30 17:22:00;SEGUNDO TEMPO;CHUTE NA ÁREA;1; 
FASE DE GRUPO;3ª RODADA;ARÁBIA SAUDITA;SALEM AL-DAWSARI;ATA;10;2022-11-30 16:00:00;2022-11-30 17:49:00;SEGUNDO TEMPO;CHUTE NA ÁREA;1; 
FASE DE GRUPO;3ª RODADA;MORROCOS;ZIYECH;MEC;7;2022-12-01 12:00:00;2022-12-01 12:03:00;PRIMEIRO TEMPO;CHUTE NA ÁREA;1; 
FASE DE GRUPO;3ª RODADA;MORROCOS;EN-NESYRI;ATA;19;2022-12-01 12:00:00;2022-12-01 12:22:00;PRIMEIRO TEMPO;CHUTE NA ÁREA;1; 
FASE DE GRUPO;3ª RODADA;MORROCOS;AGUERD;ZAD;5;2022-12-01 12:00:00;2022-12-01 12:39:00;PRIMEIRO TEMPO;CONTRA;0; 
FASE DE GRUPO;3ª RODADA;CANADA;JOGADOR GOL CONTRA;ATA;99;2022-12-01 12:00:00;2022-12-01 12:39:00;PRIMEIRO TEMPO;CONTRA;1; 
FASE DE GRUPO;3ª RODADA;ALEMANHA;GNABRY;ATA;10;2022-12-01 16:00:00;2022-12-01 16:09:00;PRIMEIRO TEMPO;CABEÇA;1; 
FASE DE GRUPO;3ª RODADA;ESPANHA;MORATA;ATA;7;2022-12-01 16:00:00;2022-12-01 16:10:00;PRIMEIRO TEMPO;CABEÇA;1; 
FASE DE GRUPO;3ª RODADA;JAPÃO;DOAN;ATA;8;2022-12-01 16:00:00;2022-12-01 17:02:00;SEGUNDO TEMPO;FORA ÁREA;1; 
FASE DE GRUPO;3ª RODADA;JAPÃO;TANAKA;VOL;17;2022-12-01 16:00:00;2022-12-01 17:05:00;SEGUNDO TEMPO;CHUTE NA ÁREA;1; 
FASE DE GRUPO;3ª RODADA;COSTA RICA;TEJEDA;VOL;17;2022-12-01 16:00:00;2022-12-01 17:12:00;SEGUNDO TEMPO;CHUTE NA ÁREA;1; 
FASE DE GRUPO;3ª RODADA;COSTA RICA;VARGAS;ZAE;3;2022-12-01 16:00:00;2022-12-01 17:24:00;SEGUNDO TEMPO;CHUTE NA ÁREA;1; 
FASE DE GRUPO;3ª RODADA;ALEMANHA;HAVERTZ;ATA;7;2022-12-01 16:00:00;2022-12-01 17:27:00;SEGUNDO TEMPO;CHUTE NA ÁREA;1; 
FASE DE GRUPO;3ª RODADA;ALEMANHA;HAVERTZ;ATA;7;2022-12-01 16:00:00;2022-12-01 17:39:00;SEGUNDO TEMPO;CHUTE NA ÁREA;1; 
FASE DE GRUPO;3ª RODADA;ALEMANHA;FÜLLKRUG;ATA;9;2022-12-01 16:00:00;2022-12-01 17:45:00;SEGUNDO TEMPO;CHUTE NA ÁREA;1; 
FASE DE GRUPO;3ª RODADA;PORTUGAL;RICARDO HORTA;ATA;21;2022-12-02 12:00:00;2022-12-02 12:04:00;PRIMEIRO TEMPO;CHUTE NA ÁREA;1; 
FASE DE GRUPO;3ª RODADA;ARGENTINA;MESSI;ATA;10;2022-12-02 12:00:00;2022-12-02 12:19:00;PRIMEIRO TEMPO;PÊNALTI;0;N
FASE DE GRUPO;3ª RODADA;URUGUAI;ARRASCAETA;MEC;10;2022-12-02 12:00:00;2022-12-02 12:25:00;PRIMEIRO TEMPO;CABEÇA;1; 
FASE DE GRUPO;3ª RODADA;COREIA DO SUL;KIM YOUNG-GWON;ZAD;19;2022-12-02 12:00:00;2022-12-02 12:26:00;PRIMEIRO TEMPO;CHUTE NA ÁREA;1; 
FASE DE GRUPO;3ª RODADA;URUGUAI;ARRASCAETA;MEC;10;2022-12-02 12:00:00;2022-12-02 12:30:00;PRIMEIRO TEMPO;CHUTE NA ÁREA;1; 
FASE DE GRUPO;3ª RODADA;COREIA DO SUL;HWANG HEE-CHAN;ATA;11;2022-12-02 12:00:00;2022-12-02 13:45:00;SEGUNDO TEMPO;CHUTE NA ÁREA;1; 
FASE DE GRUPO;3ª RODADA;SUIÇA;SHAQIRI;MEC;23;2022-12-02 16:00:00;2022-12-02 16:19:00;PRIMEIRO TEMPO;CHUTE NA ÁREA;1; 
FASE DE GRUPO;3ª RODADA;SÉRVIA;ALEKSANDAR MITROVIC;ATA;9;2022-12-02 16:00:00;2022-12-02 16:25:00;PRIMEIRO TEMPO;CABEÇA;1; 
FASE DE GRUPO;3ª RODADA;SÉRVIA;VLAHOVIC;ATA;18;2022-12-02 16:00:00;2022-12-02 16:34:00;PRIMEIRO TEMPO;CHUTE NA ÁREA;1; 
FASE DE GRUPO;3ª RODADA;SUIÇA;EMBOLO;ATA;7;2022-12-02 16:00:00;2022-12-02 16:43:00;PRIMEIRO TEMPO;CHUTE NA ÁREA;1; 
FASE DE GRUPO;3ª RODADA;SUIÇA;FREULER;VOL;8;2022-12-02 16:00:00;2022-12-02 17:01:00;SEGUNDO TEMPO;CHUTE NA ÁREA;1; 
FASE DE GRUPO;3ª RODADA;CAMARÕES;ABOUBAKAR;ATA;10;2022-12-02 16:00:00;2022-12-02 17:46:00;SEGUNDO TEMPO;CABEÇA;1; 
OITAVAS DE FINAL;OITAVAS DE FINAL 1;HOLANDA;MEMPHIS DEPAY;ATA;10;2022-12-03 12:00:00;2022-12-03 12:09:00;PRIMEIRO TEMPO;CHUTE NA ÁREA;1; 
OITAVAS DE FINAL;OITAVAS DE FINAL 1;HOLANDA;BLIND;LAE;17;2022-12-03 12:00:00;2022-12-03 12:45:00;PRIMEIRO TEMPO;CHUTE NA ÁREA;1; 
OITAVAS DE FINAL;OITAVAS DE FINAL 1;EUA;WRIGHT;ATA;19;2022-12-03 12:00:00;2022-12-03 13:30:00;SEGUNDO TEMPO;CHUTE NA ÁREA;1; 
OITAVAS DE FINAL;OITAVAS DE FINAL 1;HOLANDA;DUMFRIES;LAD;22;2022-12-03 12:00:00;2022-12-03 13:35:00;SEGUNDO TEMPO;CHUTE NA ÁREA;1; 
OITAVAS DE FINAL;OITAVAS DE FINAL 2;ARGENTINA;MESSI;ATA;10;2022-12-03 16:00:00;2022-12-03 16:34:00;PRIMEIRO TEMPO;CHUTE NA ÁREA;1; 
OITAVAS DE FINAL;OITAVAS DE FINAL 2;ARGENTINA;JULIÁN ÁLVAREZ;ATA;9;2022-12-03 16:00:00;2022-12-03 17:11:00;SEGUNDO TEMPO;CHUTE NA ÁREA;1; 
OITAVAS DE FINAL;OITAVAS DE FINAL 2;AUSTRÁLIA;JOGADOR GOL CONTRA;ATA;99;2022-12-03 16:00:00;2022-12-03 17:31:00;SEGUNDO TEMPO;CONTRA;1; 
OITAVAS DE FINAL;OITAVAS DE FINAL 2;AUSTRÁLIA;GOODWIN;MEC;23;2022-12-03 16:00:00;2022-12-03 17:31:00;SEGUNDO TEMPO;CONTRA;0; 
OITAVAS DE FINAL;OITAVAS DE FINAL 3;JAPÃO;MAEDA;ATA;25;2022-12-05 12:00:00;2022-12-05 12:42:00;PRIMEIRO TEMPO;CHUTE NA ÁREA;1; 
OITAVAS DE FINAL;OITAVAS DE FINAL 3;CROÁCIA;PERISIC;MEC;4;2022-12-05 12:00:00;2022-12-05 13:09:00;SEGUNDO TEMPO;CHUTE NA ÁREA;1; 
OITAVAS DE FINAL;OITAVAS DE FINAL 3;CROÁCIA;PASALIC;MEC;15;2022-12-05 12:00:00;2022-12-05 14:31:00;DISPUTA PÊNALTI;DISPUTA POR PÊNALTI;1;S
OITAVAS DE FINAL;OITAVAS DE FINAL 3;CROÁCIA;VLASIC;MEC;13;2022-12-05 12:00:00;2022-12-05 14:31:00;DISPUTA PÊNALTI;DISPUTA POR PÊNALTI;1;S
OITAVAS DE FINAL;OITAVAS DE FINAL 3;CROÁCIA;LIVAJA;ATA;14;2022-12-05 12:00:00;2022-12-05 14:31:00;DISPUTA PÊNALTI;DISPUTA POR PÊNALTI;0;N
OITAVAS DE FINAL;OITAVAS DE FINAL 3;JAPÃO;ASANO;ATA;18;2022-12-05 12:00:00;2022-12-05 14:31:00;DISPUTA PÊNALTI;DISPUTA POR PÊNALTI;1;S
OITAVAS DE FINAL;OITAVAS DE FINAL 3;JAPÃO;MINAMINO;ATA;10;2022-12-05 12:00:00;2022-12-05 14:31:00;DISPUTA PÊNALTI;DISPUTA POR PÊNALTI;0;N
OITAVAS DE FINAL;OITAVAS DE FINAL 3;JAPÃO;YOSHIDA;ZAD;22;2022-12-05 12:00:00;2022-12-05 14:31:00;DISPUTA PÊNALTI;DISPUTA POR PÊNALTI;0;N
